cash_transaction_id,user_id,transaction_date,transaction_type,amount,transaction_status
C7043,U1033,2026-07-04,Bank Deposit,25000,Approved
C7044,U1033,2026-07-05,Bank Deposit,7500,Approved
C7045,U1034,2026-07-14,Bank Deposit,2500,Approved
C7046,U1036,2026-07-10,Bank Deposit,2500,Approved
C7047,U1037,2026-05-26,Bank Deposit,7500,Approved
C7048,U1040,2026-06-29,Bank Deposit,7500,Approved
C7049,U1041,2026-07-14,Bank Deposit,150000,Approved
C7050,U1041,2026-07-07,Bank Deposit,250000,Approved
C7051,U1041,2026-07-04,Bank Deposit,40000,Approved
C7052,U1041,2026-07-02,Bank Deposit,100000,Approved
C7053,U1042,2026-07-10,Bank Deposit,7500,Approved
C7054,U1042,2026-06-30,Bank Deposit,5000,Approved
C7055,U1043,2026-06-27,Bank Deposit,10000,Approved
C7056,U1043,2026-07-15,Bank Deposit,5000,Approved
C7057,U1043,2026-05-27,Bank Deposit,10000,Approved
C7058,U1043,2026-06-17,Bank Deposit,40000,Approved
C7059,U1044,2026-06-01,Bank Deposit,7500,Approved
C7060,U1045,2026-07-08,Bank Deposit,500,Approved
C7061,U1045,2026-05-10,Bank Deposit,7500,Approved
C7062,U1045,2026-05-30,Bank Deposit,5000,Approved
C7063,U1047,2026-07-07,Bank Deposit,500,Approved
C7064,U1047,2026-07-11,Bank Deposit,5000,Approved
C7065,U1048,2026-07-15,Bank Deposit,75000,Canceled
C7066,U1048,2026-07-11,Bank Deposit,40000,Approved
C7067,U1048,2026-07-10,Bank Deposit,40000,Approved
C7068,U1048,2026-07-12,Bank Deposit,250000,Approved
C7069,U1048,2026-07-13,Bank Deposit,150000,Approved
C7070,U1048,2026-07-13,Bank Deposit,75000,Approved
C7071,U1048,2026-07-15,Bank Deposit,100000,Approved
C7072,U1049,2026-06-30,Bank Deposit,5000,Canceled
C7073,U1049,2026-06-26,Bank Deposit,500,Approved
C7074,U1049,2026-06-30,Bank Deposit,500,Approved
C7075,U1052,2026-06-04,Bank Deposit,1000,Approved
C7076,U1054,2026-06-02,Bank Deposit,1000,Approved
C7077,U1054,2026-06-12,Bank Deposit,500,Canceled
C7078,U1054,2026-06-23,Bank Deposit,7500,Approved
C7079,U1055,2026-07-10,Bank Deposit,10000,Canceled
C7080,U1055,2026-07-03,Bank Deposit,25000,Approved
C7081,U1056,2026-07-11,Bank Deposit,75000,Approved
C7082,U1056,2026-07-08,Bank Deposit,250000,Approved
C7083,U1056,2026-07-12,Bank Deposit,100000,Approved
C7084,U1060,2026-07-14,Bank Deposit,7500,Canceled
C7085,U1062,2026-05-29,Bank Deposit,5000,Approved
C7086,U1062,2026-06-02,Bank Deposit,7500,Approved
C7087,U1063,2026-06-12,Bank Deposit,7500,Approved
C7088,U1063,2026-06-08,Bank Deposit,15000,Approved
C7089,U1063,2026-07-06,Bank Deposit,5000,Approved
C7090,U1063,2026-06-21,Bank Deposit,40000,Canceled
C7091,U1067,2026-06-14,Bank Deposit,500,Approved
C7092,U1068,2026-05-30,Bank Deposit,40000,Approved
C7093,U1068,2026-06-11,Bank Deposit,40000,Approved
C7094,U1068,2026-05-10,Bank Deposit,15000,Approved
C7095,U1068,2026-05-18,Bank Deposit,7500,Approved
C7096,U1068,2026-07-13,Bank Deposit,25000,Approved
C7097,U1071,2026-07-14,Bank Deposit,100000,Canceled
C7098,U1071,2026-06-26,Bank Deposit,25000,Approved
C7099,U1073,2026-06-11,Bank Deposit,5000,Approved
C7100,U1073,2026-06-11,Bank Deposit,1000,Approved
C7101,U1074,2026-07-04,Bank Deposit,5000,Approved
C7102,U1074,2026-07-01,Bank Deposit,500,Approved
C7103,U1074,2026-07-15,Bank Deposit,7500,Approved
C7104,U1078,2026-05-16,Bank Deposit,25000,Approved
C7105,U1078,2026-06-05,Bank Deposit,15000,Approved
C7106,U1078,2026-07-03,Bank Deposit,5000,Approved
C7107,U1078,2026-05-07,Bank Deposit,40000,Approved
C7108,U1079,2026-06-01,Bank Deposit,7500,Canceled
C7109,U1081,2026-05-21,Bank Deposit,5000,Approved
C7110,U1081,2026-06-23,Bank Deposit,1000,Approved
C7111,U1082,2026-06-01,Bank Deposit,5000,Approved
C7112,U1082,2026-06-03,Bank Deposit,7500,Approved
C7113,U1082,2026-07-12,Bank Deposit,7500,Approved
C7114,U1083,2026-07-07,Bank Deposit,15000,Approved
C7115,U1083,2026-06-14,Bank Deposit,10000,Approved
C7116,U1083,2026-05-29,Bank Deposit,25000,Approved
C7117,U1083,2026-05-20,Bank Deposit,10000,Approved
C7118,U1083,2026-04-11,Bank Deposit,10000,Canceled
C7119,U1086,2026-07-14,Bank Deposit,500,Approved
C7120,U1086,2026-07-13,Bank Deposit,7500,Approved
C7121,U1086,2026-07-15,Bank Deposit,5000,Canceled
C7122,U1087,2026-07-10,Bank Deposit,150000,Canceled
C7123,U1089,2026-06-04,Bank Deposit,250000,Approved
C7124,U1089,2026-07-11,Bank Deposit,100000,Approved
C7125,U1089,2026-07-01,Bank Deposit,40000,Canceled
C7126,U1089,2026-05-28,Bank Deposit,75000,Approved
C7127,U1089,2026-06-27,Bank Deposit,250000,Approved
C7128,U1090,2026-05-25,Bank Deposit,25000,Approved
C7129,U1093,2026-06-03,Bank Deposit,2500,Approved
C7130,U1095,2026-07-10,Bank Deposit,500,Approved
C7131,U1095,2026-06-22,Bank Deposit,1000,Approved
C7132,U1095,2026-05-18,Bank Deposit,5000,Approved
C7133,U1096,2026-05-24,Bank Deposit,1000,Approved
C7134,U1096,2026-06-27,Bank Deposit,7500,Approved
C7135,U1097,2026-05-23,Bank Deposit,250000,Approved
C7136,U1098,2026-06-01,Bank Deposit,15000,Approved
C7137,U1098,2026-05-26,Bank Deposit,10000,Approved
C7138,U1098,2026-06-27,Bank Deposit,10000,Approved
C7139,U1098,2026-05-30,Bank Deposit,40000,Canceled
C7140,U1098,2026-07-03,Bank Deposit,10000,Canceled
C7141,U1101,2026-07-12,Bank Deposit,500,Approved
C7142,U1102,2026-07-01,Bank Deposit,5000,Canceled
C7143,U1102,2026-06-30,Bank Deposit,7500,Canceled
C7144,U1103,2026-07-03,Bank Deposit,2500,Approved
C7145,U1107,2026-07-01,Bank Deposit,1000,Approved
C7146,U1109,2026-05-30,Bank Deposit,40000,Approved
C7147,U1109,2026-05-15,Bank Deposit,40000,Approved
C7148,U1110,2026-06-20,Bank Deposit,7500,Canceled
C7149,U1110,2026-06-18,Bank Deposit,7500,Approved
C7150,U1110,2026-06-10,Bank Deposit,500,Approved
C7151,U1113,2026-04-28,Bank Deposit,75000,Canceled
C7152,U1113,2026-05-28,Bank Deposit,25000,Approved
C7153,U1114,2026-06-08,Bank Deposit,7500,Approved
C7154,U1114,2026-05-14,Bank Deposit,500,Canceled
C7155,U1114,2026-06-25,Bank Deposit,5000,Approved
C7156,U1116,2026-07-07,Bank Deposit,40000,Approved
C7157,U1116,2026-06-29,Bank Deposit,40000,Approved
C7158,U1117,2026-07-01,Bank Deposit,2500,Approved
C7159,U1117,2026-07-06,Bank Deposit,1000,Approved
C7160,U1118,2026-06-01,Bank Deposit,7500,Approved
C7161,U1118,2026-07-05,Bank Deposit,2500,Canceled
C7162,U1118,2026-06-16,Bank Deposit,7500,Approved
C7163,U1126,2026-05-19,Bank Deposit,10000,Approved
C7164,U1126,2026-06-27,Bank Deposit,10000,Approved
C7165,U1128,2026-05-25,Bank Deposit,500,Approved
C7166,U1128,2026-07-01,Bank Deposit,7500,Canceled
C7167,U1128,2026-06-04,Bank Deposit,2500,Canceled
C7168,U1133,2026-07-12,Bank Deposit,100000,Approved
C7169,U1133,2026-07-12,Bank Deposit,250000,Approved
C7170,U1133,2026-07-08,Bank Deposit,40000,Canceled
C7171,U1133,2026-07-07,Bank Deposit,250000,Approved
C7172,U1133,2026-07-14,Bank Deposit,25000,Approved
C7173,U1133,2026-07-14,Bank Deposit,250000,Approved
C7174,U1134,2026-06-09,Bank Deposit,1000,Approved
C7175,U1135,2026-07-03,Bank Deposit,15000,Canceled
C7176,U1135,2026-06-14,Bank Deposit,5000,Approved
C7177,U1136,2026-07-09,Bank Deposit,2500,Canceled
C7178,U1136,2026-07-14,Bank Deposit,2500,Canceled
C7179,U1137,2026-06-04,Bank Deposit,2500,Approved
C7180,U1138,2026-07-14,Bank Deposit,2500,Approved
C7181,U1138,2026-05-04,Bank Deposit,2500,Approved
C7182,U1138,2026-05-23,Bank Deposit,7500,Approved
C7183,U1140,2026-04-06,Bank Deposit,7500,Approved
C7184,U1140,2026-04-08,Bank Deposit,5000,Approved
C7185,U1140,2026-06-06,Bank Deposit,1000,Approved
C7186,U1142,2026-07-05,Bank Deposit,5000,Canceled
C7187,U1142,2026-05-15,Bank Deposit,5000,Approved
C7188,U1143,2026-06-11,Bank Deposit,7500,Approved
C7189,U1144,2026-07-12,Bank Deposit,1000,Approved
C7190,U1148,2026-06-16,Bank Deposit,500,Approved
C7191,U1148,2026-06-14,Bank Deposit,500,Approved
C7192,U1150,2026-05-31,Bank Deposit,100000,Approved
C7193,U1150,2026-07-10,Bank Deposit,25000,Approved
C7194,U1150,2026-07-15,Bank Deposit,150000,Canceled
C7195,U1150,2026-06-10,Bank Deposit,25000,Approved
C7196,U1150,2026-06-14,Bank Deposit,40000,Canceled
C7197,U1150,2026-06-28,Bank Deposit,100000,Approved
C7198,U1151,2026-06-15,Bank Deposit,75000,Approved
C7199,U1151,2026-05-20,Bank Deposit,100000,Approved
C7200,U1151,2026-05-23,Bank Deposit,250000,Approved
C7201,U1151,2026-06-30,Bank Deposit,150000,Approved
C7202,U1151,2026-06-19,Bank Deposit,150000,Approved
C7203,U1151,2026-05-28,Bank Deposit,250000,Approved
C7204,U1153,2026-05-07,Bank Deposit,2500,Approved
C7205,U1155,2026-06-13,Bank Deposit,7500,Canceled
C7206,U1155,2026-06-02,Bank Deposit,15000,Approved
C7207,U1155,2026-06-16,Bank Deposit,15000,Canceled
C7208,U1155,2026-07-15,Bank Deposit,40000,Approved
C7209,U1155,2026-06-17,Bank Deposit,15000,Approved
C7210,U1157,2026-06-12,Bank Deposit,7500,Approved
C7211,U1157,2026-06-12,Bank Deposit,25000,Canceled
C7212,U1157,2026-07-02,Bank Deposit,40000,Approved
C7213,U1158,2026-07-03,Bank Deposit,500,Approved
C7214,U1160,2026-07-10,Bank Deposit,5000,Approved
C7215,U1160,2026-06-17,Bank Deposit,2500,Approved
C7216,U1162,2026-06-08,Bank Deposit,7500,Approved
C7217,U1162,2026-06-30,Bank Deposit,15000,Approved
C7218,U1162,2026-07-15,Bank Deposit,15000,Approved
C7219,U1163,2026-06-03,Bank Deposit,500,Approved
C7220,U1165,2026-06-24,Bank Deposit,2500,Approved
C7221,U1166,2026-05-05,Bank Deposit,5000,Approved
C7222,U1166,2026-07-02,Bank Deposit,25000,Approved
C7223,U1167,2026-07-13,Bank Deposit,1000,Approved
C7224,U1167,2026-07-08,Bank Deposit,1000,Approved
C7225,U1168,2026-06-16,Bank Deposit,7500,Approved
C7226,U1168,2026-05-30,Bank Deposit,7500,Approved
C7227,U1168,2026-07-12,Bank Deposit,1000,Approved
C7228,U1172,2026-05-19,Bank Deposit,7500,Approved
C7229,U1174,2026-07-07,Bank Deposit,100000,Approved
C7230,U1174,2026-07-07,Bank Deposit,25000,Approved
C7231,U1174,2026-07-11,Bank Deposit,75000,Approved
C7232,U1174,2026-07-14,Bank Deposit,75000,Approved
C7233,U1174,2026-07-05,Bank Deposit,75000,Approved
C7234,U1176,2026-06-29,Bank Deposit,1000,Approved
C7235,U1176,2026-06-05,Bank Deposit,2500,Canceled
C7236,U1177,2026-06-26,Bank Deposit,500,Approved
C7237,U1179,2026-07-04,Bank Deposit,7500,Approved
C7238,U1183,2026-06-20,Bank Deposit,7500,Approved
C7239,U1183,2026-06-24,Bank Deposit,5000,Approved
C7240,U1183,2026-07-11,Bank Deposit,7500,Approved
C7241,U1184,2026-07-11,Bank Deposit,100000,Approved
C7242,U1184,2026-07-03,Bank Deposit,75000,Approved
C7243,U1184,2026-06-13,Bank Deposit,150000,Approved
C7244,U1186,2026-06-07,Bank Deposit,7500,Canceled
C7245,U1187,2026-07-12,Bank Deposit,15000,Approved
C7246,U1188,2026-07-07,Bank Deposit,5000,Approved
C7247,U1188,2026-07-08,Bank Deposit,2500,Approved
C7248,U1188,2026-07-15,Bank Deposit,2500,Approved
C7249,U1192,2026-05-10,Bank Deposit,7500,Approved
C7250,U1192,2026-06-10,Bank Deposit,7500,Approved
C7251,U1193,2026-07-03,Bank Deposit,5000,Approved
C7252,U1193,2026-06-25,Bank Deposit,25000,Approved
C7253,U1193,2026-07-04,Bank Deposit,10000,Approved
C7254,U1193,2026-07-13,Bank Deposit,40000,Approved
C7255,U1193,2026-07-06,Bank Deposit,15000,Approved
C7256,U1198,2026-06-15,Bank Deposit,10000,Approved
C7257,U1198,2026-06-08,Bank Deposit,10000,Approved
C7258,U1198,2026-06-13,Bank Deposit,5000,Approved
C7259,U1198,2026-07-09,Bank Deposit,5000,Approved
C7260,U1198,2026-06-07,Bank Deposit,5000,Canceled
C7261,U1199,2026-06-04,Bank Deposit,500,Approved
C7262,U1199,2026-05-27,Bank Deposit,1000,Approved
C7263,U1199,2026-07-04,Bank Deposit,5000,Approved
C7264,U1201,2026-07-13,Bank Deposit,150000,Approved
C7265,U1203,2026-05-28,Bank Deposit,15000,Approved
C7266,U1203,2026-06-16,Bank Deposit,15000,Approved
C7267,U1203,2026-06-18,Bank Deposit,40000,Approved
C7268,U1203,2026-06-26,Bank Deposit,7500,Approved
C7269,U1204,2026-07-08,Bank Deposit,25000,Approved
C7270,U1204,2026-06-27,Bank Deposit,100000,Approved
C7271,U1204,2026-06-24,Bank Deposit,75000,Approved
C7272,U1205,2026-07-05,Bank Deposit,7500,Approved
C7273,U1205,2026-06-09,Bank Deposit,25000,Approved
C7274,U1208,2026-05-22,Bank Deposit,15000,Approved
C7275,U1208,2026-07-11,Bank Deposit,25000,Approved
C7276,U1208,2026-06-26,Bank Deposit,5000,Approved
C7277,U1209,2026-06-07,Bank Deposit,7500,Approved
C7278,U1209,2026-06-13,Bank Deposit,1000,Approved
C7279,U1210,2026-06-19,Bank Deposit,5000,Approved
C7280,U1210,2026-07-04,Bank Deposit,25000,Approved
C7281,U1210,2026-07-09,Bank Deposit,15000,Canceled
C7282,U1210,2026-06-20,Bank Deposit,40000,Canceled
C7283,U1210,2026-05-31,Bank Deposit,10000,Approved
C7284,U1215,2026-06-11,Bank Deposit,500,Approved
C7285,U1217,2026-06-16,Bank Deposit,7500,Canceled
C7286,U1217,2026-06-17,Bank Deposit,5000,Approved
C7287,U1217,2026-06-07,Bank Deposit,7500,Approved
C7288,U1218,2026-06-13,Bank Deposit,25000,Approved
C7289,U1218,2026-06-14,Bank Deposit,40000,Approved
C7290,U1218,2026-06-14,Bank Deposit,40000,Approved
C7291,U1218,2026-06-26,Bank Deposit,25000,Approved
C7292,U1218,2026-05-24,Bank Deposit,250000,Approved
C7293,U1218,2026-06-01,Bank Deposit,25000,Approved
C7294,U1218,2026-07-12,Bank Deposit,250000,Approved
C7295,U1220,2026-07-05,Bank Deposit,7500,Canceled
C7296,U1220,2026-07-05,Bank Deposit,7500,Approved
C7297,U1220,2026-07-08,Bank Deposit,7500,Approved
C7298,U1222,2026-05-10,Bank Deposit,10000,Approved
C7299,U1222,2026-06-22,Bank Deposit,10000,Approved
C7300,U1222,2026-05-16,Bank Deposit,15000,Approved
C7301,U1222,2026-05-08,Bank Deposit,25000,Approved
C7302,U1223,2026-06-17,Bank Deposit,40000,Approved
C7303,U1223,2026-06-16,Bank Deposit,15000,Approved
C7304,U1223,2026-06-19,Bank Deposit,15000,Approved
C7305,U1223,2026-07-02,Bank Deposit,40000,Approved
C7306,U1223,2026-07-08,Bank Deposit,15000,Approved
C7307,U1225,2026-07-05,Bank Deposit,500,Approved
C7308,U1225,2026-07-08,Bank Deposit,1000,Approved
C7309,U1226,2026-07-10,Bank Deposit,500,Approved
C7310,U1226,2026-06-29,Bank Deposit,2500,Approved
C7311,U1226,2026-07-07,Bank Deposit,5000,Approved
C7312,U1228,2026-07-12,Bank Deposit,5000,Approved
C7313,U1228,2026-05-21,Bank Deposit,500,Approved
C7314,U1230,2026-06-26,Bank Deposit,5000,Canceled
C7315,U1230,2026-07-13,Bank Deposit,7500,Approved
C7316,U1230,2026-07-15,Bank Deposit,1000,Approved
C7317,U1234,2026-07-07,Bank Deposit,150000,Canceled
C7318,U1234,2026-07-11,Bank Deposit,250000,Approved
C7319,U1234,2026-07-02,Bank Deposit,250000,Approved
C7320,U1242,2026-06-30,Bank Deposit,1000,Approved
C7321,U1242,2026-07-02,Bank Deposit,2500,Canceled
C7322,U1242,2026-07-08,Bank Deposit,500,Approved
C7323,U1243,2026-05-27,Bank Deposit,15000,Approved
C7324,U1243,2026-06-02,Bank Deposit,5000,Canceled
C7325,U1243,2026-06-17,Bank Deposit,25000,Approved
C7326,U1243,2026-06-12,Bank Deposit,15000,Approved
C7327,U1243,2026-07-14,Bank Deposit,10000,Approved
C7328,U1251,2026-07-09,Bank Deposit,25000,Approved
C7329,U1251,2026-07-15,Bank Deposit,150000,Approved
C7330,U1252,2026-07-15,Bank Deposit,1000,Approved
C7331,U1252,2026-07-10,Bank Deposit,500,Approved
C7332,U1252,2026-07-15,Bank Deposit,1000,Approved
C7333,U1253,2026-07-03,Bank Deposit,15000,Approved
C7334,U1253,2026-06-19,Bank Deposit,10000,Approved
C7335,U1253,2026-06-08,Bank Deposit,5000,Approved
C7336,U1253,2026-06-15,Bank Deposit,25000,Approved
C7337,U1254,2026-07-13,Bank Deposit,15000,Approved
C7338,U1254,2026-05-27,Bank Deposit,5000,Approved
C7339,U1254,2026-05-21,Bank Deposit,40000,Approved
C7340,U1254,2026-06-11,Bank Deposit,40000,Approved
C7341,U1256,2026-07-05,Bank Deposit,7500,Approved
C7342,U1256,2026-07-01,Bank Deposit,1000,Approved
C7343,U1256,2026-07-04,Bank Deposit,2500,Approved
C7344,U1257,2026-06-30,Bank Deposit,40000,Approved
C7345,U1257,2026-07-01,Bank Deposit,7500,Approved
C7346,U1257,2026-07-01,Bank Deposit,15000,Approved
C7347,U1258,2026-07-13,Bank Deposit,7500,Canceled
C7348,U1258,2026-07-07,Bank Deposit,500,Canceled
C7349,U1258,2026-07-03,Bank Deposit,500,Approved
C7350,U1259,2026-07-11,Bank Deposit,25000,Approved
C7351,U1259,2026-07-08,Bank Deposit,10000,Approved
C7352,U1259,2026-07-07,Bank Deposit,10000,Approved
C7353,U1259,2026-07-12,Bank Deposit,5000,Approved
C7354,U1261,2026-06-20,Bank Deposit,500,Approved
C7355,U1261,2026-06-14,Bank Deposit,5000,Approved
C7356,U1261,2026-07-04,Bank Deposit,7500,Approved
C7357,U1262,2026-05-14,Bank Deposit,40000,Approved
C7358,U1262,2026-06-13,Bank Deposit,250000,Approved
C7359,U1262,2026-05-14,Bank Deposit,150000,Approved
C7360,U1262,2026-05-16,Bank Deposit,75000,Approved
C7361,U1262,2026-05-30,Bank Deposit,25000,Approved
C7362,U1262,2026-06-09,Bank Deposit,40000,Approved
C7363,U1263,2026-04-24,Bank Deposit,5000,Approved
C7364,U1263,2026-06-24,Bank Deposit,5000,Approved
C7365,U1263,2026-04-29,Bank Deposit,7500,Approved
C7366,U1263,2026-07-01,Bank Deposit,15000,Approved
C7367,U1264,2026-07-15,Bank Deposit,5000,Approved
C7368,U1264,2026-07-05,Bank Deposit,7500,Approved
C7369,U1266,2026-06-13,Bank Deposit,500,Approved
C7370,U1268,2026-06-27,Bank Deposit,7500,Approved
C7371,U1270,2026-07-02,Bank Deposit,2500,Approved
C7372,U1270,2026-07-04,Bank Deposit,2500,Canceled
C7373,U1270,2026-07-08,Bank Deposit,5000,Approved
C7374,U1275,2026-06-10,Bank Deposit,500,Approved
C7375,U1276,2026-07-01,Bank Deposit,7500,Approved
C7376,U1276,2026-06-09,Bank Deposit,40000,Approved
C7377,U1276,2026-05-28,Bank Deposit,15000,Approved
C7378,U1276,2026-07-14,Bank Deposit,40000,Approved
C7379,U1276,2026-06-17,Bank Deposit,5000,Approved
C7380,U1277,2026-06-06,Bank Deposit,500,Approved
C7381,U1277,2026-06-23,Bank Deposit,500,Canceled
C7382,U1279,2026-05-31,Bank Deposit,100000,Approved
C7383,U1279,2026-07-04,Bank Deposit,25000,Approved
C7384,U1279,2026-05-19,Bank Deposit,150000,Approved
C7385,U1279,2026-06-28,Bank Deposit,100000,Approved
C7386,U1280,2026-06-30,Bank Deposit,500,Approved
C7387,U1281,2026-07-15,Bank Deposit,2500,Approved
C7388,U1282,2026-07-14,Bank Deposit,2500,Approved
C7389,U1282,2026-07-12,Bank Deposit,2500,Approved
C7390,U1283,2026-07-01,Bank Deposit,500,Approved
C7391,U1283,2026-05-04,Bank Deposit,1000,Approved
C7392,U1286,2026-06-28,Bank Deposit,150000,Approved
C7393,U1287,2026-07-14,Bank Deposit,40000,Approved
C7394,U1287,2026-07-11,Bank Deposit,10000,Approved
C7395,U1287,2026-07-14,Bank Deposit,15000,Approved
C7396,U1292,2026-05-16,Bank Deposit,7500,Approved
C7397,U1292,2026-07-13,Bank Deposit,15000,Canceled
C7398,U1292,2026-05-27,Bank Deposit,7500,Approved
C7399,U1292,2026-06-28,Bank Deposit,10000,Approved
C7400,U1292,2026-05-09,Bank Deposit,10000,Approved
C7401,U1293,2026-07-13,Bank Deposit,500,Approved
C7402,U1295,2026-07-02,Bank Deposit,75000,Canceled
C7403,U1295,2026-06-18,Bank Deposit,250000,Canceled
C7404,U1295,2026-06-18,Bank Deposit,100000,Approved
C7405,U1296,2026-07-02,Bank Deposit,7500,Approved
C7406,U1296,2026-07-09,Bank Deposit,7500,Approved
C7407,U1296,2026-06-19,Bank Deposit,1000,Approved
C7408,U1297,2026-06-16,Bank Deposit,1000,Approved
C7409,U1299,2026-07-09,Bank Deposit,25000,Approved
C7410,U1299,2026-07-14,Bank Deposit,7500,Approved
C7411,U1299,2026-07-15,Bank Deposit,10000,Canceled
C7412,U1299,2026-07-14,Bank Deposit,15000,Approved
C7413,U1300,2026-05-22,Bank Deposit,7500,Approved
C7414,U1301,2026-07-03,Bank Deposit,1000,Approved
C7415,U1301,2026-07-05,Bank Deposit,1000,Approved
C7416,U1302,2026-06-01,Bank Deposit,2500,Approved
C7417,U1302,2026-06-08,Bank Deposit,5000,Approved
C7418,U1302,2026-06-06,Bank Deposit,500,Approved
C7419,U1303,2026-05-06,Bank Deposit,250000,Approved
C7420,U1303,2026-05-26,Bank Deposit,75000,Approved
C7421,U1303,2026-06-10,Bank Deposit,75000,Approved
C7422,U1303,2026-05-06,Bank Deposit,25000,Approved
C7423,U1307,2026-05-02,Bank Deposit,75000,Approved
C7424,U1307,2026-06-08,Bank Deposit,150000,Approved
C7425,U1307,2026-04-24,Bank Deposit,100000,Approved
C7426,U1307,2026-07-04,Bank Deposit,75000,Canceled
C7427,U1307,2026-04-30,Bank Deposit,75000,Approved
C7428,U1307,2026-05-15,Bank Deposit,150000,Approved
C7429,U1308,2026-06-14,Bank Deposit,250000,Approved
C7430,U1308,2026-06-24,Bank Deposit,25000,Approved
C7431,U1308,2026-06-30,Bank Deposit,40000,Approved
C7432,U1308,2026-06-19,Bank Deposit,150000,Approved
C7433,U1308,2026-06-18,Bank Deposit,25000,Canceled
C7434,U1308,2026-06-19,Bank Deposit,25000,Approved
C7435,U1308,2026-06-26,Bank Deposit,250000,Approved
C7436,U1309,2026-04-19,Bank Deposit,500,Approved
C7437,U1309,2026-05-26,Bank Deposit,2500,Approved
C7438,U1310,2026-05-11,Bank Deposit,1000,Approved
C7439,U1314,2026-06-30,Bank Deposit,1000,Approved
C7440,U1317,2026-05-31,Bank Deposit,7500,Approved
C7441,U1317,2026-06-09,Bank Deposit,1000,Approved
C7442,U1318,2026-07-12,Bank Deposit,1000,Approved
C7443,U1319,2026-05-16,Bank Deposit,25000,Approved
C7444,U1319,2026-05-25,Bank Deposit,250000,Approved
C7445,U1319,2026-06-29,Bank Deposit,75000,Approved
C7446,U1319,2026-04-27,Bank Deposit,75000,Approved
C7447,U1319,2026-07-15,Bank Deposit,150000,Approved
C7448,U1319,2026-05-27,Bank Deposit,75000,Approved
C7449,U1319,2026-06-17,Bank Deposit,100000,Canceled
C7450,U1320,2026-06-03,Bank Deposit,5000,Approved
C7451,U1320,2026-07-04,Bank Deposit,2500,Approved
C7452,U1321,2026-06-11,Bank Deposit,1000,Approved
C7453,U1321,2026-06-17,Bank Deposit,500,Approved
C7454,U1324,2026-07-08,Bank Deposit,5000,Approved
C7455,U1324,2026-07-03,Bank Deposit,5000,Approved
C7456,U1324,2026-07-03,Bank Deposit,25000,Canceled
C7457,U1324,2026-07-11,Bank Deposit,25000,Approved
C7458,U1324,2026-06-23,Bank Deposit,7500,Approved
C7459,U1325,2026-07-08,Bank Deposit,7500,Approved
C7460,U1325,2026-07-10,Bank Deposit,1000,Approved
C7461,U1325,2026-07-11,Bank Deposit,1000,Approved
C7462,U1326,2026-04-08,Bank Deposit,500,Approved
