transaction_id,user_id,transaction_date,stock_symbol,transaction_type,price,quantity
ST9054,U1072,2026-06-28,ESAC.CA,Buy,0.146,500
ST9055,U1072,2026-06-18,AMOC.CA,Buy,7.98,200
ST9056,U1072,2026-07-09,ESAC.CA,Buy,0.146,10
ST9057,U1072,2026-06-11,ARAB.CA,Buy,0.238,100
ST9058,U1072,2026-06-08,PHDC.CA,Buy,14.536,1500
ST9059,U1072,2026-07-14,FWRY.CA,Buy,19.9,200
ST9060,U1078,2026-05-14,AMOC.CA,Buy,8.229,100
ST9061,U1078,2026-05-18,PHDC.CA,Buy,14.806,50
ST9062,U1081,2026-05-24,PRMH.CA,Buy,2.799,10
ST9063,U1081,2026-05-07,ESAC.CA,Buy,0.154,10
ST9064,U1081,2026-05-07,ARAB.CA,Buy,0.251,20
ST9065,U1083,2026-06-29,ESAC.CA,Buy,0.153,200
ST9066,U1083,2026-06-03,AMOC.CA,Buy,8.164,20
ST9067,U1083,2026-07-01,FWRY.CA,Buy,19.558,20
ST9068,U1084,2026-06-15,PRMH.CA,Buy,2.741,200
ST9069,U1085,2026-05-27,PRMH.CA,Buy,2.782,200
ST9070,U1085,2026-06-30,PRMH.CA,Buy,2.733,10
ST9071,U1085,2026-05-26,FWRY.CA,Buy,19.57,100
ST9072,U1086,2026-07-15,FWRY.CA,Buy,18.854,40
ST9073,U1087,2026-07-14,PRMH.CA,Buy,2.721,30
ST9074,U1087,2026-07-15,AMOC.CA,Buy,8.123,100
ST9075,U1089,2026-06-15,ARAB.CA,Buy,0.252,100
ST9076,U1089,2026-06-02,PRMH.CA,Buy,2.69,80
ST9077,U1089,2026-05-28,AMOC.CA,Buy,7.95,20
ST9078,U1089,2026-06-14,AMOC.CA,Buy,8.253,150
ST9079,U1089,2026-06-02,ARAB.CA,Buy,0.244,1500
ST9080,U1089,2026-06-08,AMOC.CA,Sell,7.899,10
ST9081,U1090,2026-06-30,PRMH.CA,Buy,2.761,50
ST9082,U1092,2026-07-06,PHDC.CA,Buy,15.033,200
ST9083,U1092,2026-05-19,AMOC.CA,Buy,8.206,500
ST9084,U1095,2026-05-17,ARAB.CA,Buy,0.239,50
ST9085,U1097,2026-07-14,PRMH.CA,Buy,2.739,120
ST9086,U1097,2026-06-24,FWRY.CA,Buy,19.408,50
ST9087,U1097,2026-06-28,ESAC.CA,Buy,0.155,1000
ST9088,U1097,2026-07-01,AMOC.CA,Buy,8.07,10
ST9089,U1097,2026-06-28,ARAB.CA,Buy,0.243,50
ST9090,U1097,2026-07-01,ESAC.CA,Buy,0.151,30
ST9091,U1102,2026-06-23,PHDC.CA,Buy,14.961,40
ST9092,U1102,2026-07-14,ARAB.CA,Buy,0.248,40
ST9093,U1102,2026-07-13,PRMH.CA,Buy,2.691,200
ST9094,U1104,2026-07-01,ESAC.CA,Buy,0.149,60
ST9095,U1106,2026-06-11,ARAB.CA,Buy,0.253,10
ST9096,U1106,2026-06-22,PRMH.CA,Buy,2.808,20
ST9097,U1106,2026-06-17,PRMH.CA,Buy,2.696,40
ST9098,U1106,2026-06-28,PHDC.CA,Buy,14.438,40
ST9099,U1106,2026-07-08,AMOC.CA,Buy,7.942,20
ST9100,U1106,2026-07-06,AMOC.CA,Buy,8.247,20
ST9101,U1113,2026-04-30,ESAC.CA,Buy,0.153,200
ST9102,U1113,2026-04-26,PHDC.CA,Buy,15.323,600
ST9103,U1113,2026-05-17,AMOC.CA,Buy,7.94,80
ST9104,U1113,2026-05-12,FWRY.CA,Buy,18.851,200
ST9105,U1118,2026-07-06,FWRY.CA,Buy,19.09,500
ST9106,U1120,2026-07-02,AMOC.CA,Buy,7.943,200
ST9107,U1120,2026-06-22,AMOC.CA,Sell,8.156,10
ST9108,U1120,2026-07-07,ARAB.CA,Buy,0.245,100
ST9109,U1126,2026-06-21,FWRY.CA,Buy,18.642,20
ST9110,U1126,2026-07-06,AMOC.CA,Buy,7.98,40
ST9111,U1126,2026-05-19,FWRY.CA,Buy,19.689,200
ST9112,U1131,2026-06-15,PHDC.CA,Buy,14.629,500
ST9113,U1135,2026-06-30,PHDC.CA,Buy,14.927,20
ST9114,U1135,2026-07-08,PHDC.CA,Sell,14.694,20
ST9115,U1136,2026-05-31,PHDC.CA,Buy,14.922,10
ST9116,U1146,2026-05-12,FWRY.CA,Buy,19.187,40
ST9117,U1146,2026-06-08,FWRY.CA,Buy,19.23,500
ST9118,U1149,2026-07-01,PRMH.CA,Buy,2.719,100
ST9119,U1149,2026-07-01,PHDC.CA,Buy,14.776,200
ST9120,U1149,2026-07-12,ARAB.CA,Buy,0.252,50
ST9121,U1149,2026-07-12,FWRY.CA,Buy,18.642,200
ST9122,U1149,2026-06-25,PHDC.CA,Sell,14.382,20
ST9123,U1149,2026-07-15,PRMH.CA,Buy,2.652,100
ST9124,U1150,2026-05-17,FWRY.CA,Buy,18.703,400
ST9125,U1150,2026-05-13,ESAC.CA,Buy,0.152,200
ST9126,U1150,2026-05-27,FWRY.CA,Buy,19.552,1500
ST9127,U1159,2026-07-14,ESAC.CA,Buy,0.155,500
ST9128,U1159,2026-07-01,PRMH.CA,Buy,2.821,20
ST9129,U1159,2026-07-01,PHDC.CA,Buy,15.17,50
ST9130,U1159,2026-07-07,ARAB.CA,Buy,0.251,20
ST9131,U1166,2026-07-13,ARAB.CA,Buy,0.244,50
ST9132,U1166,2026-06-09,PHDC.CA,Buy,14.903,100
ST9133,U1166,2026-06-08,AMOC.CA,Buy,7.77,20
ST9134,U1166,2026-06-21,ESAC.CA,Buy,0.153,500
ST9135,U1166,2026-05-20,FWRY.CA,Buy,18.627,50
ST9136,U1166,2026-06-24,AMOC.CA,Buy,8.111,40
ST9137,U1169,2026-07-07,AMOC.CA,Buy,7.946,20
ST9138,U1169,2026-07-15,ESAC.CA,Buy,0.145,500
ST9139,U1169,2026-07-09,ARAB.CA,Buy,0.246,100
ST9140,U1174,2026-07-12,ARAB.CA,Buy,0.243,20
ST9141,U1175,2026-06-24,AMOC.CA,Buy,8.329,200
ST9142,U1175,2026-06-29,ESAC.CA,Buy,0.149,500
ST9143,U1175,2026-07-14,ARAB.CA,Buy,0.253,10
ST9144,U1176,2026-07-13,PHDC.CA,Buy,15.245,500
ST9145,U1177,2026-07-14,ESAC.CA,Buy,0.148,20
ST9146,U1177,2026-06-28,FWRY.CA,Buy,19.748,20
ST9147,U1180,2026-06-17,PRMH.CA,Buy,2.751,500
ST9148,U1182,2026-06-29,FWRY.CA,Buy,18.639,500
ST9149,U1184,2026-07-05,PRMH.CA,Buy,2.647,1000
ST9150,U1185,2026-05-20,PRMH.CA,Buy,2.659,100
ST9151,U1185,2026-06-17,AMOC.CA,Buy,8.079,200
ST9152,U1185,2026-07-05,ARAB.CA,Buy,0.244,10
ST9153,U1185,2026-06-02,PHDC.CA,Buy,14.929,100
ST9154,U1187,2026-07-14,FWRY.CA,Buy,19.278,500
ST9155,U1187,2026-06-30,ESAC.CA,Buy,0.148,40
ST9156,U1187,2026-06-21,FWRY.CA,Buy,19.054,50
ST9157,U1190,2026-07-08,AMOC.CA,Buy,7.843,200
ST9158,U1190,2026-06-25,PRMH.CA,Buy,2.759,500
ST9159,U1193,2026-07-12,PRMH.CA,Buy,2.685,50
ST9160,U1193,2026-07-12,AMOC.CA,Buy,7.989,20
ST9161,U1193,2026-07-08,FWRY.CA,Buy,19.522,200
ST9162,U1197,2026-07-09,PRMH.CA,Buy,2.759,20
ST9163,U1197,2026-07-12,AMOC.CA,Buy,7.776,500
ST9164,U1197,2026-06-17,ESAC.CA,Buy,0.152,100
ST9165,U1197,2026-06-18,ESAC.CA,Sell,0.15,100
ST9166,U1201,2026-05-06,ESAC.CA,Buy,0.155,300
ST9167,U1201,2026-06-18,ESAC.CA,Buy,0.145,100
ST9168,U1201,2026-05-25,ARAB.CA,Buy,0.248,200
ST9169,U1202,2026-05-11,FWRY.CA,Buy,19.056,10
ST9170,U1202,2026-07-08,ESAC.CA,Buy,0.149,10
ST9171,U1204,2026-07-13,AMOC.CA,Buy,7.928,1500
ST9172,U1204,2026-07-09,ARAB.CA,Buy,0.25,1500
ST9173,U1204,2026-07-02,FWRY.CA,Buy,19.144,2500
ST9174,U1204,2026-07-14,ESAC.CA,Buy,0.154,20
ST9175,U1204,2026-07-08,PHDC.CA,Buy,14.699,500
ST9176,U1207,2026-06-11,PHDC.CA,Buy,15.196,200
ST9177,U1208,2026-07-02,AMOC.CA,Buy,7.968,40
ST9178,U1209,2026-06-21,ESAC.CA,Buy,0.145,100
ST9179,U1209,2026-06-22,ARAB.CA,Buy,0.245,40
ST9180,U1209,2026-06-25,FWRY.CA,Buy,19.252,10
ST9181,U1210,2026-06-21,PRMH.CA,Buy,2.822,50
ST9182,U1210,2026-06-15,PRMH.CA,Buy,2.746,40
ST9183,U1210,2026-06-07,ARAB.CA,Buy,0.248,100
ST9184,U1210,2026-07-09,AMOC.CA,Buy,8.088,50
ST9185,U1210,2026-07-13,PHDC.CA,Buy,15.113,40
ST9186,U1210,2026-07-01,PRMH.CA,Sell,2.674,20
ST9187,U1215,2026-07-05,PHDC.CA,Buy,14.412,50
ST9188,U1215,2026-07-05,ARAB.CA,Buy,0.249,50
ST9189,U1215,2026-07-09,ESAC.CA,Buy,0.151,500
ST9190,U1218,2026-06-02,PRMH.CA,Buy,2.671,60
ST9191,U1218,2026-07-01,ESAC.CA,Buy,0.154,50
ST9192,U1222,2026-06-24,AMOC.CA,Buy,8.269,50
ST9193,U1222,2026-06-24,FWRY.CA,Buy,18.66,100
ST9194,U1222,2026-06-11,FWRY.CA,Buy,19.191,100
ST9195,U1222,2026-05-27,FWRY.CA,Buy,19.173,40
ST9196,U1224,2026-06-30,PRMH.CA,Buy,2.747,500
ST9197,U1224,2026-06-16,ARAB.CA,Buy,0.244,500
ST9198,U1224,2026-06-09,ESAC.CA,Buy,0.149,500
ST9199,U1225,2026-06-22,PRMH.CA,Buy,2.818,40
ST9200,U1232,2026-07-14,ARAB.CA,Buy,0.246,200
ST9201,U1234,2026-07-09,ARAB.CA,Buy,0.242,200
ST9202,U1234,2026-07-15,FWRY.CA,Buy,18.644,40
ST9203,U1234,2026-07-08,ARAB.CA,Sell,0.241,100
ST9204,U1234,2026-07-01,AMOC.CA,Buy,8.216,600
ST9205,U1234,2026-07-14,ARAB.CA,Buy,0.24,1500
ST9206,U1234,2026-07-08,ESAC.CA,Buy,0.15,30
ST9207,U1234,2026-07-14,PRMH.CA,Buy,2.809,50
ST9208,U1234,2026-07-15,PRMH.CA,Sell,2.691,40
ST9209,U1238,2026-07-13,FWRY.CA,Buy,19.317,100
ST9210,U1240,2026-07-15,PHDC.CA,Buy,15.019,10
ST9211,U1240,2026-05-07,ESAC.CA,Buy,0.15,100
ST9212,U1240,2026-05-20,PHDC.CA,Buy,14.691,100
ST9213,U1245,2026-07-15,AMOC.CA,Buy,7.904,500
ST9214,U1245,2026-06-29,ARAB.CA,Buy,0.251,20
ST9215,U1249,2026-06-28,ARAB.CA,Buy,0.253,200
ST9216,U1249,2026-07-06,PRMH.CA,Buy,2.671,50
ST9217,U1249,2026-07-15,FWRY.CA,Buy,19.097,500
ST9218,U1251,2026-07-14,PRMH.CA,Buy,2.757,20
ST9219,U1253,2026-06-09,PHDC.CA,Buy,15.215,500
ST9220,U1253,2026-06-28,PRMH.CA,Buy,2.805,10
ST9221,U1253,2026-06-15,FWRY.CA,Buy,19.58,10
ST9222,U1253,2026-07-02,FWRY.CA,Buy,19.789,10
ST9223,U1257,2026-07-05,AMOC.CA,Buy,7.998,50
ST9224,U1257,2026-07-12,FWRY.CA,Buy,19.971,50
ST9225,U1257,2026-06-25,FWRY.CA,Buy,19.392,200
ST9226,U1262,2026-07-07,PRMH.CA,Buy,2.803,100
ST9227,U1262,2026-06-09,ARAB.CA,Buy,0.238,10
ST9228,U1262,2026-06-25,AMOC.CA,Buy,7.968,100
ST9229,U1262,2026-06-14,ESAC.CA,Buy,0.154,1500
ST9230,U1262,2026-06-09,PRMH.CA,Buy,2.785,120
ST9231,U1267,2026-06-28,PHDC.CA,Buy,14.569,40
ST9232,U1267,2026-06-03,ESAC.CA,Buy,0.15,20
ST9233,U1269,2026-06-24,ARAB.CA,Buy,0.239,500
ST9234,U1269,2026-07-15,AMOC.CA,Buy,8.161,100
ST9235,U1269,2026-07-01,FWRY.CA,Buy,18.647,40
ST9236,U1272,2026-06-24,PRMH.CA,Buy,2.807,10
ST9237,U1272,2026-07-01,AMOC.CA,Buy,8.069,40
ST9238,U1278,2026-07-14,ESAC.CA,Buy,0.155,10
ST9239,U1278,2026-06-21,ESAC.CA,Buy,0.154,100
ST9240,U1278,2026-07-14,ARAB.CA,Buy,0.24,50
ST9241,U1278,2026-07-07,ARAB.CA,Buy,0.25,500
ST9242,U1278,2026-07-12,AMOC.CA,Buy,7.939,100
ST9243,U1278,2026-07-13,PRMH.CA,Buy,2.648,40
ST9244,U1278,2026-06-28,ARAB.CA,Sell,0.247,200
ST9245,U1279,2026-06-07,ESAC.CA,Buy,0.149,50
ST9246,U1279,2026-06-10,PHDC.CA,Buy,15.36,200
ST9247,U1279,2026-06-11,ESAC.CA,Buy,0.148,2500
ST9248,U1279,2026-06-21,PRMH.CA,Buy,2.709,10
ST9249,U1279,2026-05-27,FWRY.CA,Buy,19.312,500
ST9250,U1279,2026-05-27,FWRY.CA,Buy,19.274,600
ST9251,U1279,2026-05-17,PRMH.CA,Buy,2.704,200
ST9252,U1281,2026-07-07,FWRY.CA,Buy,19.536,200
ST9253,U1281,2026-04-19,AMOC.CA,Buy,8.125,20
ST9254,U1281,2026-04-30,FWRY.CA,Buy,19.819,10
ST9255,U1283,2026-07-13,AMOC.CA,Buy,8.24,200
ST9256,U1283,2026-07-05,ARAB.CA,Buy,0.25,40
ST9257,U1286,2026-05-28,ARAB.CA,Buy,0.25,60
ST9258,U1286,2026-06-14,ARAB.CA,Buy,0.251,500
ST9259,U1286,2026-07-09,ESAC.CA,Buy,0.146,2500
ST9260,U1286,2026-05-03,AMOC.CA,Buy,8.164,100
ST9261,U1286,2026-07-14,AMOC.CA,Sell,8.137,10
ST9262,U1286,2026-06-25,AMOC.CA,Buy,8.181,40
ST9263,U1296,2026-07-07,FWRY.CA,Buy,18.844,40
ST9264,U1296,2026-06-30,FWRY.CA,Buy,18.765,500
ST9265,U1306,2026-07-15,PHDC.CA,Buy,15.171,500
ST9266,U1306,2026-07-12,AMOC.CA,Buy,8.279,50
ST9267,U1307,2026-05-03,ESAC.CA,Buy,0.148,10
ST9268,U1308,2026-07-05,PRMH.CA,Buy,2.757,40
ST9269,U1308,2026-06-15,FWRY.CA,Buy,18.691,20
ST9270,U1319,2026-04-30,AMOC.CA,Buy,8.267,100
ST9271,U1319,2026-07-12,FWRY.CA,Buy,19.664,2500
ST9272,U1319,2026-06-14,AMOC.CA,Buy,7.833,300
ST9273,U1319,2026-06-21,FWRY.CA,Sell,19.021,400
ST9274,U1319,2026-06-16,ESAC.CA,Buy,0.152,500
ST9275,U1328,2026-06-18,ESAC.CA,Buy,0.151,20
ST9276,U1330,2026-06-25,PRMH.CA,Buy,2.671,20
ST9277,U1330,2026-06-18,ARAB.CA,Buy,0.247,100
ST9278,U1336,2026-04-22,ESAC.CA,Buy,0.148,20
ST9279,U1337,2026-07-14,AMOC.CA,Buy,8.189,50
ST9280,U1337,2026-07-01,AMOC.CA,Buy,8.183,50
ST9281,U1338,2026-05-14,ESAC.CA,Buy,0.146,50
ST9282,U1343,2026-06-25,AMOC.CA,Buy,7.854,120
ST9283,U1343,2026-06-09,AMOC.CA,Buy,8.039,100
ST9284,U1343,2026-06-03,AMOC.CA,Sell,7.987,200
ST9285,U1343,2026-07-06,PHDC.CA,Buy,14.992,20
ST9286,U1343,2026-06-07,PHDC.CA,Buy,14.36,200
ST9287,U1343,2026-07-05,PRMH.CA,Buy,2.702,40
ST9288,U1343,2026-05-31,ARAB.CA,Buy,0.239,20
ST9289,U1343,2026-06-02,FWRY.CA,Buy,19.118,500
ST9290,U1351,2026-07-08,FWRY.CA,Buy,19.28,20
ST9291,U1352,2026-04-26,PHDC.CA,Buy,14.671,120
ST9292,U1352,2026-07-15,ARAB.CA,Buy,0.239,200
ST9293,U1352,2026-07-13,PRMH.CA,Buy,2.7,500
ST9294,U1353,2026-07-05,FWRY.CA,Buy,19.46,40
ST9295,U1353,2026-07-13,PRMH.CA,Buy,2.786,100
ST9296,U1356,2026-06-25,ESAC.CA,Buy,0.146,50
ST9297,U1356,2026-07-05,AMOC.CA,Buy,7.956,40
ST9298,U1356,2026-06-18,FWRY.CA,Buy,18.889,40
ST9299,U1358,2026-05-25,PHDC.CA,Buy,14.912,40
ST9300,U1358,2026-06-15,PHDC.CA,Buy,15.015,100
ST9301,U1358,2026-07-09,ARAB.CA,Buy,0.247,500
ST9302,U1358,2026-07-06,FWRY.CA,Buy,18.938,100
ST9303,U1358,2026-07-05,PRMH.CA,Buy,2.793,50
ST9304,U1358,2026-06-14,PRMH.CA,Sell,2.696,50
ST9305,U1359,2026-07-05,AMOC.CA,Buy,8.206,50
ST9306,U1359,2026-07-06,ESAC.CA,Buy,0.15,500
ST9307,U1362,2026-07-06,PHDC.CA,Buy,15.152,40
ST9308,U1362,2026-07-15,FWRY.CA,Buy,19.245,10
ST9309,U1362,2026-07-07,AMOC.CA,Buy,8.265,100
ST9310,U1362,2026-07-13,FWRY.CA,Buy,19.561,40
ST9311,U1363,2026-06-21,AMOC.CA,Buy,8.236,2500
ST9312,U1363,2026-07-06,PHDC.CA,Buy,15.01,50
ST9313,U1363,2026-06-28,PHDC.CA,Buy,14.342,200
ST9314,U1363,2026-07-09,AMOC.CA,Buy,8.249,100
ST9315,U1365,2026-06-07,ARAB.CA,Buy,0.242,40
ST9316,U1374,2026-06-21,PHDC.CA,Buy,14.358,80
ST9317,U1374,2026-07-06,PRMH.CA,Buy,2.674,50
ST9318,U1374,2026-06-23,AMOC.CA,Buy,8.317,30
ST9319,U1374,2026-07-13,ARAB.CA,Buy,0.245,20
ST9320,U1374,2026-07-08,FWRY.CA,Buy,19.9,80
ST9321,U1375,2026-06-03,ARAB.CA,Buy,0.242,400
ST9322,U1375,2026-06-22,PHDC.CA,Buy,14.795,200
ST9323,U1375,2026-07-07,ESAC.CA,Buy,0.145,50
ST9324,U1375,2026-06-11,PHDC.CA,Buy,15.029,40
ST9325,U1378,2026-07-15,PHDC.CA,Buy,15.168,100
ST9326,U1378,2026-07-15,ESAC.CA,Buy,0.15,20
ST9327,U1380,2026-07-07,PRMH.CA,Buy,2.809,10
ST9328,U1382,2026-06-15,ESAC.CA,Buy,0.148,100
ST9329,U1382,2026-06-14,PHDC.CA,Buy,14.394,1500
ST9330,U1382,2026-07-01,FWRY.CA,Buy,19.073,200
ST9331,U1382,2026-06-24,FWRY.CA,Sell,18.926,150
ST9332,U1383,2026-06-21,AMOC.CA,Buy,7.99,200
ST9333,U1383,2026-06-25,FWRY.CA,Buy,19.865,10
ST9334,U1384,2026-06-16,ESAC.CA,Buy,0.15,100
ST9335,U1384,2026-06-03,ARAB.CA,Buy,0.253,200
ST9336,U1391,2026-07-12,AMOC.CA,Buy,8.247,10
ST9337,U1398,2026-07-12,FWRY.CA,Buy,18.986,100
ST9338,U1398,2026-07-06,ESAC.CA,Buy,0.15,40
ST9339,U1401,2026-07-05,PRMH.CA,Buy,2.821,40
ST9340,U1401,2026-07-15,ARAB.CA,Buy,0.239,50
ST9341,U1401,2026-06-23,FWRY.CA,Buy,19.01,50
ST9342,U1401,2026-06-24,FWRY.CA,Buy,19.94,10
ST9343,U1401,2026-06-10,ESAC.CA,Buy,0.154,500
ST9344,U1410,2026-07-13,FWRY.CA,Buy,19.823,100
ST9345,U1425,2026-07-01,ESAC.CA,Buy,0.148,10
ST9346,U1425,2026-07-07,ARAB.CA,Buy,0.25,40
ST9347,U1427,2026-07-13,ARAB.CA,Buy,0.244,40
ST9348,U1430,2026-07-12,FWRY.CA,Buy,19.768,500
ST9349,U1430,2026-07-14,PHDC.CA,Buy,15.096,200
ST9350,U1430,2026-07-15,FWRY.CA,Buy,19.752,10
ST9351,U1430,2026-07-02,AMOC.CA,Buy,8.045,10
ST9352,U1430,2026-07-15,AMOC.CA,Sell,8.25,10
ST9353,U1431,2026-07-06,FWRY.CA,Buy,19.369,50
ST9354,U1432,2026-06-30,ARAB.CA,Buy,0.254,200
ST9355,U1432,2026-06-18,FWRY.CA,Buy,18.731,100
ST9356,U1435,2026-07-14,PHDC.CA,Buy,14.726,200
ST9357,U1435,2026-07-07,ARAB.CA,Buy,0.246,40
ST9358,U1442,2026-05-24,ESAC.CA,Buy,0.146,50
ST9359,U1442,2026-06-22,PRMH.CA,Buy,2.649,50
ST9360,U1442,2026-06-25,ARAB.CA,Buy,0.247,200
ST9361,U1443,2026-07-07,PHDC.CA,Buy,14.407,10
ST9362,U1443,2026-06-15,ARAB.CA,Buy,0.241,10
ST9363,U1447,2026-04-29,FWRY.CA,Buy,19.122,50
ST9364,U1447,2026-07-07,PRMH.CA,Buy,2.81,10
ST9365,U1448,2026-05-18,PRMH.CA,Buy,2.799,10
ST9366,U1448,2026-06-07,PRMH.CA,Buy,2.654,40
ST9367,U1448,2026-06-29,ARAB.CA,Buy,0.254,100
ST9368,U1448,2026-05-10,FWRY.CA,Buy,19.043,500
ST9369,U1451,2026-07-12,AMOC.CA,Buy,7.984,2500
ST9370,U1451,2026-07-14,ESAC.CA,Buy,0.153,40
ST9371,U1454,2026-05-25,ESAC.CA,Buy,0.152,100
ST9372,U1454,2026-06-03,ARAB.CA,Buy,0.252,100
ST9373,U1454,2026-06-28,PHDC.CA,Buy,15.254,10
ST9374,U1455,2026-06-29,FWRY.CA,Buy,19.663,20
ST9375,U1455,2026-07-07,ARAB.CA,Buy,0.251,50
ST9376,U1455,2026-07-13,ESAC.CA,Buy,0.15,500
ST9377,U1458,2026-05-11,PHDC.CA,Buy,14.571,10
ST9378,U1458,2026-06-02,ESAC.CA,Buy,0.152,100
ST9379,U1458,2026-05-05,AMOC.CA,Buy,8.077,10
ST9380,U1458,2026-07-12,ESAC.CA,Buy,0.145,10
ST9381,U1459,2026-07-12,PHDC.CA,Buy,14.437,50
ST9382,U1459,2026-06-16,PRMH.CA,Buy,2.793,40
ST9383,U1459,2026-06-29,PHDC.CA,Buy,15.343,10
ST9384,U1459,2026-05-14,AMOC.CA,Buy,7.898,500
ST9385,U1461,2026-06-17,AMOC.CA,Buy,7.983,40
ST9386,U1461,2026-06-10,PRMH.CA,Buy,2.655,10
ST9387,U1461,2026-06-30,PHDC.CA,Buy,14.992,200
ST9388,U1461,2026-06-15,ARAB.CA,Buy,0.247,20
ST9389,U1461,2026-06-07,FWRY.CA,Buy,18.906,500
ST9390,U1463,2026-07-14,PHDC.CA,Buy,14.713,40
ST9391,U1463,2026-07-05,PHDC.CA,Buy,14.521,500
ST9392,U1463,2026-07-14,PRMH.CA,Buy,2.752,100
ST9393,U1465,2026-07-14,FWRY.CA,Buy,19.444,10
ST9394,U1469,2026-06-30,AMOC.CA,Buy,7.916,500
ST9395,U1469,2026-06-28,ESAC.CA,Buy,0.154,10
ST9396,U1469,2026-06-25,AMOC.CA,Buy,8.301,40
ST9397,U1470,2026-06-28,ARAB.CA,Buy,0.247,200
ST9398,U1479,2026-05-20,ESAC.CA,Buy,0.149,200
ST9399,U1479,2026-06-02,AMOC.CA,Buy,7.862,40
ST9400,U1479,2026-06-30,ARAB.CA,Buy,0.254,20
ST9401,U1481,2026-06-29,ARAB.CA,Buy,0.249,20
ST9402,U1483,2026-07-14,PRMH.CA,Buy,2.736,200
ST9403,U1483,2026-07-14,PHDC.CA,Buy,14.386,50
ST9404,U1486,2026-06-02,FWRY.CA,Buy,19.803,80
ST9405,U1486,2026-04-27,ESAC.CA,Buy,0.153,200
ST9406,U1486,2026-06-02,FWRY.CA,Buy,18.798,500
ST9407,U1486,2026-05-10,PHDC.CA,Buy,14.415,500
ST9408,U1486,2026-06-14,AMOC.CA,Buy,7.79,20
