order_id,user_id,order_date,stock_symbol,order_type,order_status,price,quantity
O5106,U1087,2026-07-14,AMOC.CA,Sell,Canceled,7.979,40
O5107,U1087,2026-07-08,AMOC.CA,Buy,Canceled,7.798,40
O5108,U1087,2026-07-05,PRMH.CA,Buy,Active,2.684,600
O5109,U1089,2026-06-15,ARAB.CA,Buy,Completed,0.252,100
O5110,U1089,2026-06-02,PRMH.CA,Buy,Completed,2.69,80
O5111,U1089,2026-05-28,AMOC.CA,Buy,Completed,7.95,20
O5112,U1089,2026-06-07,ESAC.CA,Buy,Canceled,0.152,400
O5113,U1089,2026-06-14,AMOC.CA,Buy,Completed,8.253,150
O5114,U1089,2026-06-02,ARAB.CA,Buy,Completed,0.244,1500
O5115,U1089,2026-06-08,AMOC.CA,Sell,Completed,7.899,10
O5116,U1090,2026-06-30,PRMH.CA,Buy,Completed,2.761,50
O5117,U1090,2026-06-28,ARAB.CA,Buy,Canceled,0.244,40
O5118,U1092,2026-07-06,PHDC.CA,Buy,Completed,15.033,200
O5119,U1092,2026-05-19,AMOC.CA,Buy,Completed,8.206,500
O5120,U1095,2026-05-17,ARAB.CA,Buy,Completed,0.239,50
O5121,U1097,2026-07-14,PRMH.CA,Buy,Completed,2.739,120
O5122,U1097,2026-06-24,FWRY.CA,Buy,Completed,19.408,50
O5123,U1097,2026-07-14,FWRY.CA,Buy,Active,18.678,1000
O5124,U1097,2026-06-28,ESAC.CA,Buy,Completed,0.155,1000
O5125,U1097,2026-06-09,PRMH.CA,Buy,Active,2.833,20
O5126,U1097,2026-07-01,AMOC.CA,Buy,Completed,8.07,10
O5127,U1097,2026-06-28,ARAB.CA,Buy,Completed,0.243,50
O5128,U1097,2026-07-01,ESAC.CA,Buy,Completed,0.151,30
O5129,U1102,2026-06-23,PHDC.CA,Buy,Completed,14.961,40
O5130,U1102,2026-07-14,ARAB.CA,Buy,Completed,0.248,40
O5131,U1102,2026-06-16,ESAC.CA,Buy,Active,0.151,100
O5132,U1102,2026-07-13,PRMH.CA,Buy,Completed,2.691,200
O5133,U1104,2026-07-15,ARAB.CA,Buy,Active,0.246,500
O5134,U1104,2026-07-06,ESAC.CA,Buy,Active,0.151,20
O5135,U1104,2026-07-01,ESAC.CA,Buy,Completed,0.149,60
O5136,U1106,2026-06-11,ARAB.CA,Buy,Completed,0.253,10
O5137,U1106,2026-06-22,PRMH.CA,Buy,Completed,2.808,20
O5138,U1106,2026-06-17,PRMH.CA,Buy,Completed,2.696,40
O5139,U1106,2026-06-28,PHDC.CA,Buy,Completed,14.438,40
O5140,U1106,2026-07-08,AMOC.CA,Buy,Completed,7.942,20
O5141,U1106,2026-07-06,AMOC.CA,Buy,Completed,8.247,20
O5142,U1112,2026-07-15,FWRY.CA,Buy,Active,19.443,500
O5143,U1113,2026-04-30,ESAC.CA,Buy,Completed,0.153,200
O5144,U1113,2026-06-18,AMOC.CA,Buy,Canceled,7.993,10
O5145,U1113,2026-04-26,PHDC.CA,Buy,Completed,15.323,600
O5146,U1113,2026-05-17,AMOC.CA,Buy,Completed,7.94,80
O5147,U1113,2026-05-12,FWRY.CA,Buy,Completed,18.851,200
O5148,U1118,2026-07-12,PHDC.CA,Buy,Active,14.456,50
O5149,U1118,2026-07-01,AMOC.CA,Buy,Active,8.29,10
O5150,U1118,2026-07-06,FWRY.CA,Buy,Completed,19.09,500
O5151,U1120,2026-05-06,PRMH.CA,Buy,Active,2.661,500
O5152,U1120,2026-07-02,AMOC.CA,Buy,Completed,7.943,200
O5153,U1120,2026-06-22,AMOC.CA,Sell,Completed,8.156,10
O5154,U1120,2026-07-07,ARAB.CA,Buy,Completed,0.245,100
O5155,U1126,2026-07-02,PHDC.CA,Buy,Active,15.066,10
O5156,U1126,2026-06-21,FWRY.CA,Buy,Completed,18.642,20
O5157,U1126,2026-07-06,AMOC.CA,Buy,Completed,7.98,40
O5158,U1126,2026-05-19,FWRY.CA,Buy,Completed,19.689,200
O5159,U1126,2026-07-05,ESAC.CA,Buy,Canceled,0.155,100
O5160,U1126,2026-06-07,ARAB.CA,Buy,Canceled,0.244,100
O5161,U1128,2026-04-28,PHDC.CA,Buy,Active,14.4,100
O5162,U1128,2026-06-04,PHDC.CA,Buy,Canceled,14.788,40
O5163,U1131,2026-06-29,PHDC.CA,Buy,Active,15.067,20
O5164,U1131,2026-06-15,PHDC.CA,Buy,Completed,14.629,500
O5165,U1133,2026-07-13,ESAC.CA,Buy,Active,0.148,40
O5166,U1133,2026-07-15,AMOC.CA,Buy,Active,8.033,1000
O5167,U1135,2026-06-30,PHDC.CA,Buy,Completed,14.927,20
O5168,U1135,2026-07-15,ESAC.CA,Buy,Active,0.15,200
O5169,U1135,2026-06-08,ARAB.CA,Buy,Active,0.253,200
O5170,U1135,2026-07-09,ARAB.CA,Buy,Canceled,0.245,200
O5171,U1135,2026-07-08,PHDC.CA,Sell,Completed,14.694,500
O5172,U1136,2026-05-31,PHDC.CA,Buy,Completed,14.922,10
O5173,U1136,2026-06-23,PHDC.CA,Sell,Canceled,14.479,20
O5174,U1146,2026-05-12,FWRY.CA,Buy,Completed,19.187,40
O5175,U1146,2026-06-08,FWRY.CA,Buy,Completed,19.23,500
O5176,U1146,2026-06-28,AMOC.CA,Buy,Active,7.86,40
O5177,U1146,2026-05-20,ESAC.CA,Buy,Active,0.155,500
O5178,U1149,2026-07-01,PRMH.CA,Buy,Completed,2.719,100
O5179,U1149,2026-06-28,FWRY.CA,Buy,Canceled,19.957,10
O5180,U1149,2026-07-01,PHDC.CA,Buy,Completed,14.776,200
O5181,U1149,2026-07-12,ARAB.CA,Buy,Completed,0.252,50
O5182,U1149,2026-07-12,FWRY.CA,Buy,Completed,18.642,200
O5183,U1149,2026-06-25,PHDC.CA,Sell,Completed,14.382,20
O5184,U1149,2026-07-15,PRMH.CA,Buy,Completed,2.652,100
O5185,U1150,2026-05-17,FWRY.CA,Buy,Completed,18.703,400
O5186,U1150,2026-05-13,ESAC.CA,Buy,Completed,0.152,200
O5187,U1150,2026-05-27,FWRY.CA,Buy,Completed,19.552,1500
O5188,U1159,2026-07-14,ESAC.CA,Buy,Completed,0.155,500
O5189,U1159,2026-07-01,PRMH.CA,Buy,Completed,2.821,20
O5190,U1159,2026-07-01,PHDC.CA,Buy,Completed,15.17,50
O5191,U1159,2026-07-07,ARAB.CA,Buy,Completed,0.251,20
O5192,U1166,2026-07-13,ARAB.CA,Buy,Completed,0.244,50
O5193,U1166,2026-06-09,PHDC.CA,Buy,Completed,14.903,100
O5194,U1166,2026-06-08,AMOC.CA,Buy,Completed,7.77,20
O5195,U1166,2026-06-21,ESAC.CA,Buy,Completed,0.153,500
O5196,U1166,2026-05-20,FWRY.CA,Buy,Completed,18.627,50
O5197,U1166,2026-05-17,AMOC.CA,Sell,Active,7.838,40
O5198,U1166,2026-06-24,AMOC.CA,Buy,Completed,8.111,40
O5199,U1169,2026-07-15,PHDC.CA,Buy,Canceled,15.159,500
O5200,U1169,2026-07-07,AMOC.CA,Buy,Completed,7.946,20
O5201,U1169,2026-07-15,ESAC.CA,Buy,Completed,0.145,500
O5202,U1169,2026-07-09,ARAB.CA,Buy,Completed,0.246,100
O5203,U1170,2026-07-05,PHDC.CA,Buy,Canceled,14.906,500
O5204,U1174,2026-07-14,PHDC.CA,Buy,Canceled,14.87,40
O5205,U1174,2026-07-12,ARAB.CA,Buy,Completed,0.243,20
O5206,U1175,2026-06-24,AMOC.CA,Buy,Completed,8.329,200
O5207,U1175,2026-06-29,ESAC.CA,Buy,Completed,0.149,500
O5208,U1175,2026-07-14,ARAB.CA,Buy,Completed,0.253,10
O5209,U1176,2026-06-23,PHDC.CA,Buy,Active,15.285,100
O5210,U1176,2026-07-13,PHDC.CA,Buy,Completed,15.245,500
O5211,U1176,2026-05-24,ARAB.CA,Buy,Active,0.251,100
O5212,U1177,2026-07-14,ESAC.CA,Buy,Completed,0.148,20
O5213,U1177,2026-06-28,FWRY.CA,Buy,Completed,19.748,20
O5214,U1180,2026-06-17,PRMH.CA,Buy,Completed,2.751,500
O5215,U1182,2026-06-29,FWRY.CA,Buy,Completed,18.639,500
O5216,U1184,2026-07-05,PRMH.CA,Buy,Completed,2.647,1000
O5217,U1185,2026-05-20,PRMH.CA,Buy,Completed,2.659,100
O5218,U1185,2026-06-16,AMOC.CA,Buy,Active,7.873,200
O5219,U1185,2026-06-17,AMOC.CA,Buy,Completed,8.079,200
O5220,U1185,2026-06-02,PRMH.CA,Sell,Active,2.779,50
O5221,U1185,2026-07-05,ARAB.CA,Buy,Completed,0.244,10
O5222,U1185,2026-06-02,PHDC.CA,Buy,Completed,14.929,100
O5223,U1187,2026-07-14,FWRY.CA,Buy,Completed,19.278,500
O5224,U1187,2026-07-08,ARAB.CA,Buy,Active,0.242,500
O5225,U1187,2026-06-30,ESAC.CA,Buy,Completed,0.148,40
O5226,U1187,2026-07-13,ARAB.CA,Buy,Canceled,0.239,200
O5227,U1187,2026-07-09,FWRY.CA,Buy,Canceled,18.996,10
O5228,U1187,2026-06-24,FWRY.CA,Buy,Canceled,19.054,10
O5229,U1187,2026-06-21,FWRY.CA,Buy,Completed,19.054,50
O5230,U1188,2026-07-14,FWRY.CA,Buy,Canceled,19.76,10
O5231,U1190,2026-06-25,FWRY.CA,Buy,Active,19.187,200
O5232,U1190,2026-07-08,AMOC.CA,Buy,Completed,7.843,200
O5233,U1190,2026-06-25,PRMH.CA,Buy,Completed,2.759,500
O5234,U1193,2026-07-12,PRMH.CA,Buy,Completed,2.685,50
O5235,U1193,2026-07-12,AMOC.CA,Buy,Active,8.288,100
O5236,U1193,2026-07-12,AMOC.CA,Buy,Completed,7.989,20
O5237,U1193,2026-06-29,PHDC.CA,Buy,Active,14.867,50
O5238,U1193,2026-07-08,FWRY.CA,Buy,Completed,19.522,200
O5239,U1197,2026-07-09,PRMH.CA,Buy,Completed,2.759,20
O5240,U1197,2026-07-12,AMOC.CA,Buy,Completed,7.776,500
O5241,U1197,2026-06-17,ESAC.CA,Buy,Completed,0.152,100
O5242,U1197,2026-06-18,ESAC.CA,Sell,Completed,0.15,500
O5243,U1198,2026-06-28,AMOC.CA,Buy,Active,8.22,10
O5244,U1198,2026-07-01,ARAB.CA,Buy,Active,0.248,50
O5245,U1201,2026-04-15,ESAC.CA,Buy,Active,0.146,500
O5246,U1201,2026-05-06,ESAC.CA,Buy,Completed,0.155,300
O5247,U1201,2026-06-18,ESAC.CA,Buy,Completed,0.145,100
O5248,U1201,2026-04-26,PRMH.CA,Buy,Active,2.725,40
O5249,U1201,2026-05-25,ARAB.CA,Buy,Completed,0.248,200
O5250,U1202,2026-05-11,FWRY.CA,Buy,Completed,19.056,10
O5251,U1202,2026-07-08,ESAC.CA,Buy,Completed,0.149,10
O5252,U1204,2026-07-13,AMOC.CA,Buy,Completed,7.928,1500
O5253,U1204,2026-07-15,AMOC.CA,Buy,Active,7.83,50
O5254,U1204,2026-07-06,PHDC.CA,Buy,Active,15.273,300
O5255,U1204,2026-07-01,PHDC.CA,Buy,Canceled,14.787,1000
O5256,U1204,2026-07-09,ARAB.CA,Buy,Completed,0.25,1500
O5257,U1204,2026-07-02,FWRY.CA,Buy,Completed,19.144,2500
O5258,U1204,2026-07-14,ESAC.CA,Buy,Completed,0.154,20
O5259,U1204,2026-07-08,PHDC.CA,Buy,Completed,14.699,500
O5260,U1206,2026-06-07,PRMH.CA,Buy,Canceled,2.682,10
O5261,U1207,2026-06-11,PHDC.CA,Buy,Completed,15.196,200
O5262,U1207,2026-06-18,FWRY.CA,Buy,Active,19.842,40
O5263,U1208,2026-06-30,ESAC.CA,Buy,Active,0.155,500
O5264,U1208,2026-07-02,AMOC.CA,Buy,Completed,7.968,40
O5265,U1208,2026-06-25,FWRY.CA,Buy,Active,19.64,40
O5266,U1209,2026-06-21,ESAC.CA,Buy,Completed,0.145,100
O5267,U1209,2026-06-22,ARAB.CA,Buy,Completed,0.245,40
O5268,U1209,2026-06-25,FWRY.CA,Buy,Completed,19.252,10
O5269,U1210,2026-06-21,PRMH.CA,Buy,Completed,2.822,50
O5270,U1210,2026-06-15,PRMH.CA,Buy,Completed,2.746,40
O5271,U1210,2026-06-07,ARAB.CA,Buy,Completed,0.248,100
O5272,U1210,2026-07-09,AMOC.CA,Buy,Completed,8.088,50
O5273,U1210,2026-07-13,PHDC.CA,Buy,Completed,15.113,40
O5274,U1210,2026-07-01,PRMH.CA,Sell,Completed,2.674,20
O5275,U1215,2026-07-05,AMOC.CA,Buy,Active,8.331,200
O5276,U1215,2026-07-05,PHDC.CA,Buy,Completed,14.412,50
O5277,U1215,2026-07-05,ARAB.CA,Buy,Completed,0.249,50
O5278,U1215,2026-07-09,ESAC.CA,Buy,Completed,0.151,500
O5279,U1218,2026-06-02,PRMH.CA,Buy,Completed,2.671,60
O5280,U1218,2026-07-14,AMOC.CA,Buy,Canceled,7.933,20
O5281,U1218,2026-07-01,ESAC.CA,Buy,Completed,0.154,50
O5282,U1222,2026-06-25,ARAB.CA,Buy,Canceled,0.243,10
O5283,U1222,2026-06-24,AMOC.CA,Buy,Completed,8.269,50
O5284,U1222,2026-06-24,FWRY.CA,Buy,Completed,18.66,100
O5285,U1222,2026-06-11,FWRY.CA,Buy,Completed,19.191,100
O5286,U1222,2026-05-27,FWRY.CA,Buy,Completed,19.173,40
O5287,U1224,2026-06-30,PRMH.CA,Buy,Completed,2.747,500
O5288,U1224,2026-06-16,ARAB.CA,Buy,Completed,0.244,500
O5289,U1224,2026-06-24,ARAB.CA,Sell,Canceled,0.245,200
O5290,U1224,2026-06-09,ESAC.CA,Buy,Completed,0.149,500
O5291,U1225,2026-06-22,PRMH.CA,Buy,Completed,2.818,40
O5292,U1230,2026-06-30,PHDC.CA,Buy,Active,14.367,200
O5293,U1231,2026-06-16,PHDC.CA,Buy,Active,14.616,500
O5294,U1231,2026-07-05,FWRY.CA,Buy,Canceled,19.512,500
O5295,U1232,2026-07-14,ARAB.CA,Buy,Completed,0.246,200
O5296,U1234,2026-07-09,ARAB.CA,Buy,Completed,0.242,200
O5297,U1234,2026-07-15,FWRY.CA,Buy,Completed,18.644,40
O5298,U1234,2026-07-08,ARAB.CA,Sell,Completed,0.241,100
O5299,U1234,2026-07-15,AMOC.CA,Buy,Active,7.796,1000
O5300,U1234,2026-07-01,AMOC.CA,Buy,Completed,8.216,600
O5301,U1234,2026-07-14,ARAB.CA,Buy,Completed,0.24,1500
O5302,U1234,2026-07-08,ESAC.CA,Buy,Completed,0.15,30
O5303,U1234,2026-07-14,PRMH.CA,Buy,Completed,2.809,50
O5304,U1234,2026-07-15,PHDC.CA,Buy,Active,14.726,120
O5305,U1234,2026-07-15,PRMH.CA,Sell,Completed,2.691,40
O5306,U1237,2026-06-24,PHDC.CA,Buy,Canceled,14.525,200
O5307,U1237,2026-05-14,FWRY.CA,Buy,Canceled,19.66,10
O5308,U1237,2026-06-18,PRMH.CA,Buy,Canceled,2.686,100
O5309,U1238,2026-07-13,FWRY.CA,Buy,Completed,19.317,100
O5310,U1240,2026-05-31,PRMH.CA,Buy,Active,2.658,40
O5311,U1240,2026-07-15,PHDC.CA,Buy,Completed,15.019,10
O5312,U1240,2026-04-15,AMOC.CA,Buy,Canceled,7.809,40
O5313,U1240,2026-05-07,ESAC.CA,Buy,Completed,0.15,100
O5314,U1240,2026-04-30,FWRY.CA,Buy,Canceled,19.885,500
O5315,U1240,2026-05-20,PHDC.CA,Buy,Completed,14.691,100
O5316,U1240,2026-05-26,PHDC.CA,Sell,Canceled,14.5,10
O5317,U1245,2026-07-15,AMOC.CA,Buy,Completed,7.904,500
O5318,U1245,2026-06-29,ARAB.CA,Buy,Completed,0.251,20
O5319,U1249,2026-06-17,AMOC.CA,Buy,Canceled,8.215,500
O5320,U1249,2026-06-28,ARAB.CA,Buy,Completed,0.253,200
O5321,U1249,2026-07-06,PRMH.CA,Buy,Completed,2.671,50
O5322,U1249,2026-07-15,FWRY.CA,Buy,Completed,19.097,500
O5323,U1251,2026-07-14,PRMH.CA,Buy,Completed,2.757,20
O5324,U1253,2026-06-09,PHDC.CA,Buy,Completed,15.215,500
O5325,U1253,2026-06-28,PRMH.CA,Buy,Completed,2.805,10
O5326,U1253,2026-06-15,FWRY.CA,Buy,Completed,19.58,10
O5327,U1253,2026-07-13,ARAB.CA,Buy,Active,0.241,100
O5328,U1253,2026-07-02,FWRY.CA,Buy,Completed,19.789,10
O5329,U1257,2026-07-14,PRMH.CA,Buy,Active,2.809,50
O5330,U1257,2026-07-05,AMOC.CA,Buy,Completed,7.998,50
O5331,U1257,2026-07-12,FWRY.CA,Buy,Completed,19.971,50
O5332,U1257,2026-06-25,FWRY.CA,Buy,Completed,19.392,200
O5333,U1262,2026-07-08,PRMH.CA,Buy,Active,2.68,1000
O5334,U1262,2026-07-07,PRMH.CA,Buy,Completed,2.803,100
O5335,U1262,2026-06-15,FWRY.CA,Buy,Canceled,19.68,100
O5336,U1262,2026-06-09,ARAB.CA,Buy,Completed,0.238,10
O5337,U1262,2026-06-25,AMOC.CA,Buy,Completed,7.968,100
O5338,U1262,2026-06-14,ESAC.CA,Buy,Completed,0.154,1500
O5339,U1262,2026-07-14,FWRY.CA,Buy,Active,18.831,500
O5340,U1262,2026-06-09,PRMH.CA,Buy,Completed,2.785,120
O5341,U1267,2026-05-25,PRMH.CA,Buy,Canceled,2.694,20
O5342,U1267,2026-06-28,PHDC.CA,Buy,Completed,14.569,40
O5343,U1267,2026-06-03,ESAC.CA,Buy,Completed,0.15,20
O5344,U1269,2026-07-15,PHDC.CA,Buy,Canceled,15.293,100
O5345,U1269,2026-06-24,ARAB.CA,Buy,Completed,0.239,500
O5346,U1269,2026-07-15,AMOC.CA,Buy,Completed,8.161,100
O5347,U1269,2026-07-01,FWRY.CA,Buy,Completed,18.647,40
O5348,U1272,2026-07-13,PHDC.CA,Buy,Active,15.124,20
O5349,U1272,2026-06-24,PRMH.CA,Buy,Completed,2.807,10
O5350,U1272,2026-06-28,ARAB.CA,Buy,Active,0.245,40
O5351,U1272,2026-07-01,AMOC.CA,Buy,Completed,8.069,40
O5352,U1278,2026-07-14,ESAC.CA,Buy,Completed,0.155,10
O5353,U1278,2026-06-21,ESAC.CA,Buy,Completed,0.154,100
O5354,U1278,2026-07-14,ARAB.CA,Buy,Completed,0.24,50
O5355,U1278,2026-07-07,ARAB.CA,Buy,Completed,0.25,500
O5356,U1278,2026-07-12,AMOC.CA,Buy,Completed,7.939,100
O5357,U1278,2026-07-13,PRMH.CA,Buy,Completed,2.648,40
O5358,U1278,2026-06-28,ARAB.CA,Sell,Completed,0.247,200
O5359,U1279,2026-07-13,AMOC.CA,Buy,Canceled,8.045,50
O5360,U1279,2026-06-07,ESAC.CA,Buy,Completed,0.149,50
O5361,U1279,2026-06-10,PHDC.CA,Buy,Completed,15.36,200
O5362,U1279,2026-06-11,ESAC.CA,Buy,Completed,0.148,2500
O5363,U1279,2026-06-21,PRMH.CA,Buy,Completed,2.709,10
O5364,U1279,2026-05-27,FWRY.CA,Buy,Completed,19.312,500
O5365,U1279,2026-05-27,FWRY.CA,Buy,Completed,19.274,600
O5366,U1279,2026-05-17,PRMH.CA,Buy,Completed,2.704,200
O5367,U1281,2026-07-07,FWRY.CA,Buy,Completed,19.536,200
O5368,U1281,2026-04-19,AMOC.CA,Buy,Completed,8.125,20
O5369,U1281,2026-05-07,FWRY.CA,Buy,Canceled,19.278,20
O5370,U1281,2026-04-30,FWRY.CA,Buy,Completed,19.819,10
O5371,U1283,2026-05-10,PRMH.CA,Buy,Active,2.732,50
O5372,U1283,2026-07-13,AMOC.CA,Buy,Completed,8.24,200
O5373,U1283,2026-07-05,ARAB.CA,Buy,Completed,0.25,40
O5374,U1283,2026-06-29,ESAC.CA,Buy,Active,0.151,10
O5375,U1286,2026-05-28,ARAB.CA,Buy,Completed,0.25,60
