user_id,client_segment,country,risk_profile,registration_date
U1080,Mass,Egypt,Aggressive,2026-04-07
U1081,Mass,Egypt,Moderate,2026-04-01
U1082,Mass,Egypt,Aggressive,2026-04-21
U1083,Affluent,Egypt,Moderate,2026-04-02
U1084,Mass,Qatar,Moderate,2026-04-20
U1085,Mass,Saudi Arabia,Moderate,2026-04-19
U1086,Mass,Egypt,Moderate,2026-07-11
U1087,High Net Worth,Egypt,Moderate,2026-06-27
U1088,Mass,Egypt,Aggressive,2026-05-23
U1089,High Net Worth,UAE,Aggressive,2026-05-01
U1090,Affluent,Qatar,Aggressive,2026-05-23
U1091,Mass,UAE,Moderate,2026-05-23
U1092,Affluent,Saudi Arabia,Aggressive,2026-05-05
U1093,Mass,Egypt,Moderate,2026-04-05
U1094,Affluent,Egypt,Aggressive,2026-05-29
U1095,Mass,Saudi Arabia,Aggressive,2026-04-29
U1096,Mass,Egypt,Moderate,2026-04-09
U1097,High Net Worth,Egypt,Moderate,2026-05-22
U1098,Affluent,Saudi Arabia,Moderate,2026-04-04
U1099,Mass,Qatar,Conservative,2026-05-04
U1100,Mass,Egypt,Moderate,2026-07-10
U1101,Mass,Egypt,Moderate,2026-05-20
U1102,Affluent,Egypt,Conservative,2026-05-26
U1103,Mass,Kuwait,Moderate,2026-07-02
U1104,High Net Worth,UAE,Conservative,2026-05-26
U1105,Mass,Egypt,Moderate,2026-05-11
U1106,Affluent,Egypt,Aggressive,2026-06-04
U1107,Mass,Egypt,Moderate,2026-05-08
U1108,Mass,Egypt,Moderate,2026-05-19
U1109,Affluent,Kuwait,Moderate,2026-05-09
U1110,Mass,Saudi Arabia,Moderate,2026-04-27
U1111,Mass,Egypt,Moderate,2026-05-30
U1112,Mass,Egypt,Moderate,2026-07-11
U1113,High Net Worth,UAE,Conservative,2026-04-11
U1114,Mass,Egypt,Moderate,2026-04-12
U1115,Affluent,UAE,Moderate,2026-04-29
U1116,Affluent,Egypt,Conservative,2026-05-31
U1117,Mass,UAE,Moderate,2026-06-20
U1118,Mass,Egypt,Moderate,2026-05-22
U1119,Mass,Egypt,Conservative,2026-07-06
U1120,Affluent,Saudi Arabia,Aggressive,2026-04-29
U1121,Mass,Qatar,Moderate,2026-04-07
U1122,Mass,Kuwait,Conservative,2026-04-18
U1123,Affluent,Egypt,Aggressive,2026-06-16
U1124,Mass,UAE,Moderate,2026-07-02
U1125,Affluent,Egypt,Aggressive,2026-05-28
U1126,Affluent,UAE,Moderate,2026-05-04
U1127,Affluent,Saudi Arabia,Moderate,2026-07-09
U1128,Mass,Egypt,Moderate,2026-04-10
U1129,Affluent,Egypt,Moderate,2026-06-09
U1130,Mass,Egypt,Moderate,2026-04-20
U1131,Affluent,Egypt,Moderate,2026-06-09
U1132,Mass,Egypt,Aggressive,2026-05-20
U1133,High Net Worth,Egypt,Moderate,2026-07-07
U1134,Mass,Egypt,Aggressive,2026-05-09
U1135,Affluent,Saudi Arabia,Aggressive,2026-05-24
U1136,Mass,UAE,Aggressive,2026-04-29
U1137,Mass,Egypt,Moderate,2026-05-20
U1138,Mass,Egypt,Moderate,2026-04-22
U1139,Affluent,Kuwait,Aggressive,2026-06-08
U1140,Mass,Egypt,Moderate,2026-04-04
U1141,Mass,Egypt,Aggressive,2026-04-24
U1142,Mass,Egypt,Conservative,2026-05-12
U1143,Mass,Saudi Arabia,Moderate,2026-05-24
U1144,Mass,Egypt,Conservative,2026-06-09
U1145,Mass,Qatar,Conservative,2026-04-09
U1146,Affluent,Egypt,Aggressive,2026-05-02
U1147,Mass,Egypt,Conservative,2026-04-17
U1148,Mass,Egypt,Aggressive,2026-05-30
U1149,Affluent,UAE,Conservative,2026-06-17
U1150,High Net Worth,Egypt,Aggressive,2026-04-21
U1151,High Net Worth,Egypt,Conservative,2026-05-10
U1152,Mass,Kuwait,Moderate,2026-07-01
U1153,Mass,Egypt,Aggressive,2026-05-02
U1154,Mass,UAE,Aggressive,2026-06-16
U1155,Affluent,UAE,Moderate,2026-04-06
U1156,Mass,Egypt,Moderate,2026-06-04
U1157,Affluent,Egypt,Moderate,2026-06-02
U1158,Mass,Qatar,Moderate,2026-05-29
U1159,Affluent,Egypt,Moderate,2026-06-23
U1160,Mass,UAE,Moderate,2026-06-01
U1161,Mass,Saudi Arabia,Moderate,2026-05-12
U1162,Affluent,Saudi Arabia,Conservative,2026-05-28
U1163,Mass,Egypt,Moderate,2026-05-19
U1164,Mass,Egypt,Moderate,2026-06-02
U1165,Mass,UAE,Moderate,2026-06-16
U1166,Affluent,Egypt,Conservative,2026-04-25
U1167,Mass,UAE,Moderate,2026-07-07
U1168,Mass,Egypt,Moderate,2026-05-28
U1169,Affluent,Egypt,Conservative,2026-06-28
U1170,Mass,Egypt,Moderate,2026-06-10
U1171,Mass,Egypt,Moderate,2026-05-13
U1172,Mass,Egypt,Moderate,2026-04-30
U1173,Mass,Egypt,Conservative,2026-06-08
U1174,High Net Worth,Egypt,Conservative,2026-07-04
U1175,Mass,UAE,Aggressive,2026-06-07
U1176,Mass,Bahrain,Aggressive,2026-05-08
U1177,Mass,Egypt,Conservative,2026-06-08
U1178,Mass,Egypt,Conservative,2026-05-08
U1179,Affluent,Egypt,Aggressive,2026-06-02
U1180,Mass,Egypt,Moderate,2026-06-01
U1181,Mass,Egypt,Conservative,2026-06-01
U1182,Mass,Egypt,Moderate,2026-06-13
U1183,Affluent,Egypt,Conservative,2026-06-12
U1184,High Net Worth,Egypt,Moderate,2026-06-11
U1185,Affluent,Egypt,Aggressive,2026-04-29
U1186,Affluent,Egypt,Aggressive,2026-05-09
U1187,Affluent,Bahrain,Moderate,2026-06-19
U1188,Mass,Qatar,Conservative,2026-07-07
U1189,Mass,Egypt,Moderate,2026-04-21
U1190,Mass,Egypt,Conservative,2026-05-23
U1191,Mass,Egypt,Moderate,2026-04-30
U1192,Mass,Egypt,Aggressive,2026-04-10
U1193,Affluent,Kuwait,Aggressive,2026-06-20
U1194,Mass,UAE,Conservative,2026-04-15
U1195,Mass,Egypt,Aggressive,2026-04-19
U1196,Mass,Egypt,Moderate,2026-07-05
U1197,Affluent,Kuwait,Moderate,2026-05-30
U1198,Affluent,Egypt,Aggressive,2026-06-04
U1199,Mass,Egypt,Moderate,2026-05-26
U1200,Affluent,Egypt,Conservative,2026-04-30
U1201,High Net Worth,Saudi Arabia,Moderate,2026-04-03
U1202,High Net Worth,Egypt,Moderate,2026-04-06
U1203,Affluent,Egypt,Moderate,2026-05-27
U1204,High Net Worth,Egypt,Moderate,2026-06-21
U1205,Affluent,Qatar,Moderate,2026-05-23
U1206,Mass,Egypt,Aggressive,2026-05-13
U1207,Mass,Egypt,Moderate,2026-05-22
U1208,Affluent,Egypt,Moderate,2026-05-11
U1209,Mass,Egypt,Aggressive,2026-06-05
U1210,Affluent,Egypt,Aggressive,2026-05-30
U1211,Mass,Egypt,Moderate,2026-07-06
U1212,Mass,Egypt,Conservative,2026-05-05
U1213,Mass,Kuwait,Moderate,2026-06-29
U1214,Mass,Egypt,Moderate,2026-07-12
U1215,Mass,Egypt,Moderate,2026-06-10
U1216,Mass,Egypt,Aggressive,2026-04-15
U1217,Mass,Egypt,Aggressive,2026-06-03
U1218,High Net Worth,Egypt,Moderate,2026-05-24
U1219,Affluent,Bahrain,Moderate,2026-06-10
U1220,Mass,Egypt,Moderate,2026-07-05
U1221,Affluent,Saudi Arabia,Moderate,2026-07-11
U1222,Affluent,Egypt,Aggressive,2026-05-05
U1223,Affluent,Egypt,Moderate,2026-06-15
U1224,Mass,Egypt,Aggressive,2026-05-28
U1225,Mass,Egypt,Moderate,2026-06-09
U1226,Mass,Kuwait,Aggressive,2026-06-29
U1227,Mass,Egypt,Aggressive,2026-05-23
U1228,Mass,UAE,Moderate,2026-05-19
U1229,Mass,Egypt,Aggressive,2026-04-20
U1230,Mass,Egypt,Moderate,2026-06-15
U1231,Mass,Egypt,Aggressive,2026-04-13
U1232,Mass,Egypt,Moderate,2026-05-23
U1233,Affluent,Qatar,Conservative,2026-07-10
U1234,High Net Worth,Egypt,Moderate,2026-06-23
U1235,Mass,Egypt,Moderate,2026-06-08
U1236,Mass,Egypt,Moderate,2026-07-07
U1237,Mass,Egypt,Moderate,2026-05-01
U1238,Affluent,Kuwait,Aggressive,2026-07-05
U1239,Mass,Qatar,Aggressive,2026-06-30
U1240,Affluent,Egypt,Moderate,2026-04-04
U1241,Mass,UAE,Moderate,2026-05-18
U1242,Mass,Egypt,Moderate,2026-06-27
U1243,Affluent,Egypt,Conservative,2026-05-19
U1244,Mass,Egypt,Aggressive,2026-04-19
U1245,Mass,Egypt,Moderate,2026-06-25
U1246,Mass,UAE,Aggressive,2026-06-26
U1247,Mass,Egypt,Aggressive,2026-06-15
U1248,Mass,Qatar,Moderate,2026-05-29
U1249,Affluent,Egypt,Moderate,2026-06-01
U1250,Mass,Egypt,Moderate,2026-05-08
U1251,High Net Worth,Egypt,Aggressive,2026-06-24
U1252,Mass,Egypt,Aggressive,2026-07-09
U1253,Affluent,Egypt,Moderate,2026-06-03
U1254,Affluent,Kuwait,Aggressive,2026-04-30
U1255,Mass,Egypt,Moderate,2026-06-19
U1256,Mass,UAE,Aggressive,2026-06-27
U1257,Affluent,Egypt,Aggressive,2026-06-22
U1258,Mass,UAE,Conservative,2026-05-17
U1259,Affluent,Egypt,Moderate,2026-07-05
U1260,Mass,Egypt,Aggressive,2026-05-17
U1261,Mass,Kuwait,Aggressive,2026-05-03
U1262,High Net Worth,Qatar,Aggressive,2026-05-08
U1263,Affluent,Egypt,Conservative,2026-04-10
U1264,Mass,Qatar,Aggressive,2026-07-02
U1265,Affluent,Egypt,Aggressive,2026-06-11
U1266,Mass,UAE,Conservative,2026-06-08
U1267,Mass,Egypt,Moderate,2026-05-04
U1268,Mass,Saudi Arabia,Aggressive,2026-04-14
U1269,Affluent,Egypt,Moderate,2026-06-11
U1270,Mass,Egypt,Moderate,2026-06-21
U1271,Affluent,Kuwait,Moderate,2026-05-23
U1272,Mass,Egypt,Conservative,2026-06-03
U1273,Mass,Egypt,Moderate,2026-05-20
U1274,Mass,Egypt,Moderate,2026-06-09
U1275,Mass,UAE,Conservative,2026-05-24
U1276,Affluent,Saudi Arabia,Moderate,2026-05-06
U1277,Mass,Egypt,Moderate,2026-05-01
U1278,Affluent,Egypt,Moderate,2026-06-09
U1279,High Net Worth,Egypt,Conservative,2026-05-06
U1280,Mass,Egypt,Aggressive,2026-05-29
U1281,Mass,Egypt,Moderate,2026-04-03
U1282,Mass,Egypt,Aggressive,2026-07-10
U1283,Mass,Egypt,Aggressive,2026-04-27
U1284,Mass,UAE,Conservative,2026-07-09
U1285,Mass,Kuwait,Conservative,2026-04-19
U1286,High Net Worth,Egypt,Aggressive,2026-04-15
U1287,Affluent,Egypt,Conservative,2026-07-11
U1288,Affluent,Egypt,Conservative,2026-05-04
U1289,Mass,UAE,Moderate,2026-07-05
U1290,Mass,Egypt,Moderate,2026-06-15
U1291,Mass,Egypt,Aggressive,2026-04-06
U1292,Affluent,Kuwait,Moderate,2026-05-09
U1293,Mass,Qatar,Conservative,2026-06-01
U1294,Affluent,Egypt,Conservative,2026-07-01
U1295,High Net Worth,Egypt,Conservative,2026-06-17
U1296,Mass,Egypt,Moderate,2026-06-14
U1297,Mass,Egypt,Aggressive,2026-06-07
U1298,Mass,Egypt,Moderate,2026-07-11
U1299,Affluent,Saudi Arabia,Moderate,2026-07-08
U1300,Mass,Saudi Arabia,Moderate,2026-04-30
U1301,Mass,Saudi Arabia,Moderate,2026-07-03
U1302,Mass,Egypt,Moderate,2026-05-18
U1303,High Net Worth,Egypt,Moderate,2026-04-12
U1304,Affluent,Egypt,Conservative,2026-07-04
U1305,Mass,Egypt,Conservative,2026-06-11
U1306,Mass,Egypt,Moderate,2026-06-25
U1307,High Net Worth,Egypt,Aggressive,2026-04-07
U1308,High Net Worth,Egypt,Moderate,2026-06-13
U1309,Mass,Egypt,Moderate,2026-04-14
U1310,Mass,Egypt,Conservative,2026-05-06
U1311,Mass,UAE,Aggressive,2026-07-08
U1312,Affluent,Egypt,Moderate,2026-04-04
U1313,Mass,Egypt,Moderate,2026-04-04
U1314,Mass,Egypt,Moderate,2026-05-14
U1315,Mass,Egypt,Conservative,2026-06-24
U1316,Mass,Egypt,Moderate,2026-04-04
U1317,Mass,Egypt,Moderate,2026-05-29
U1318,Mass,Egypt,Moderate,2026-07-09
U1319,High Net Worth,Egypt,Aggressive,2026-04-20
U1320,Mass,Egypt,Moderate,2026-05-05
U1321,Mass,Egypt,Moderate,2026-05-24
U1322,Mass,UAE,Conservative,2026-05-26
U1323,Mass,Egypt,Moderate,2026-06-07
U1324,Affluent,Egypt,Moderate,2026-06-16
U1325,Mass,Egypt,Aggressive,2026-07-08
U1326,Mass,Egypt,Moderate,2026-04-01
U1327,Mass,Egypt,Conservative,2026-06-08
U1328,Affluent,Egypt,Aggressive,2026-05-16
U1329,Mass,Saudi Arabia,Conservative,2026-04-03
U1330,Mass,Egypt,Moderate,2026-05-25
U1331,Mass,Egypt,Moderate,2026-04-15
U1332,Mass,Qatar,Conservative,2026-06-19
U1333,Mass,Egypt,Moderate,2026-05-26
U1334,Affluent,Egypt,Moderate,2026-06-07
U1335,Mass,Saudi Arabia,Moderate,2026-04-29
U1336,Mass,Egypt,Moderate,2026-04-15
U1337,Mass,Egypt,Aggressive,2026-05-15
U1338,Affluent,UAE,Aggressive,2026-05-01
U1339,Mass,Egypt,Conservative,2026-04-20
U1340,Affluent,Egypt,Conservative,2026-07-08
U1341,Affluent,Egypt,Moderate,2026-06-14
U1342,Mass,Kuwait,Moderate,2026-06-21
U1343,High Net Worth,Egypt,Aggressive,2026-05-11
U1344,Mass,Egypt,Moderate,2026-05-09
U1345,Affluent,Egypt,Moderate,2026-04-10
U1346,Mass,Egypt,Conservative,2026-05-07
U1347,Mass,Saudi Arabia,Aggressive,2026-06-18
U1348,Mass,Egypt,Moderate,2026-07-11
U1349,Affluent,Egypt,Aggressive,2026-06-13
U1350,Affluent,Egypt,Moderate,2026-04-20
U1351,High Net Worth,Egypt,Aggressive,2026-05-14
U1352,High Net Worth,Egypt,Moderate,2026-04-06
U1353,Mass,Egypt,Moderate,2026-06-06
U1354,Mass,Egypt,Aggressive,2026-05-20
U1355,Mass,Egypt,Moderate,2026-07-11
U1356,Affluent,Egypt,Moderate,2026-06-11
U1357,Affluent,Egypt,Moderate,2026-06-24
U1358,High Net Worth,Egypt,Conservative,2026-04-11
U1359,Mass,Egypt,Moderate,2026-06-23
U1360,Affluent,Egypt,Moderate,2026-04-11
U1361,Mass,Egypt,Aggressive,2026-04-17
U1362,Affluent,Saudi Arabia,Moderate,2026-06-27
U1363,High Net Worth,Egypt,Moderate,2026-06-05
U1364,Mass,Egypt,Conservative,2026-04-28
U1365,Mass,UAE,Conservative,2026-04-18
U1366,Mass,Egypt,Aggressive,2026-06-04
U1367,Affluent,Saudi Arabia,Aggressive,2026-04-05
U1368,Affluent,Saudi Arabia,Moderate,2026-06-16
U1369,Mass,Egypt,Aggressive,2026-07-08
U1370,Affluent,Kuwait,Moderate,2026-04-06
U1371,Mass,Egypt,Conservative,2026-05-27
U1372,Mass,UAE,Aggressive,2026-04-30
U1373,Mass,Egypt,Aggressive,2026-05-31
U1374,High Net Worth,Egypt,Moderate,2026-06-13
U1375,High Net Worth,Egypt,Moderate,2026-05-19
U1376,Mass,Egypt,Conservative,2026-04-26
U1377,Affluent,Egypt,Moderate,2026-06-22
U1378,Mass,Egypt,Aggressive,2026-07-01
U1379,Affluent,Saudi Arabia,Moderate,2026-07-07
U1380,Mass,Egypt,Moderate,2026-05-26
U1381,Mass,Kuwait,Aggressive,2026-05-15
U1382,High Net Worth,Egypt,Moderate,2026-05-18
U1383,Mass,Bahrain,Moderate,2026-04-04
U1384,Mass,Egypt,Moderate,2026-05-13
U1385,Affluent,Egypt,Moderate,2026-05-31
U1386,Affluent,Egypt,Moderate,2026-05-28
U1387,Mass,Kuwait,Conservative,2026-04-28
U1388,Affluent,Egypt,Moderate,2026-06-07
U1389,Mass,UAE,Conservative,2026-04-16
U1390,Mass,Egypt,Aggressive,2026-05-29
U1391,Mass,Saudi Arabia,Moderate,2026-06-08
U1392,Mass,Egypt,Moderate,2026-04-19
U1393,Mass,Egypt,Moderate,2026-06-13
U1394,Mass,Egypt,Conservative,2026-05-17
U1395,Mass,Egypt,Moderate,2026-06-04
U1396,Mass,Egypt,Moderate,2026-06-21
U1397,Mass,Egypt,Moderate,2026-05-16
U1398,Affluent,Egypt,Moderate,2026-06-20
U1399,Mass,Egypt,Aggressive,2026-04-18
U1400,Mass,Egypt,Aggressive,2026-04-23
U1401,Affluent,Egypt,Aggressive,2026-06-01
U1402,Affluent,UAE,Conservative,2026-07-09
U1403,High Net Worth,Egypt,Conservative,2026-07-11
U1404,Mass,Egypt,Aggressive,2026-06-05
U1405,Mass,UAE,Moderate,2026-04-05
U1406,Affluent,Egypt,Moderate,2026-07-09
U1407,Mass,Egypt,Moderate,2026-07-12
U1408,Mass,Saudi Arabia,Moderate,2026-05-20
U1409,Mass,Egypt,Moderate,2026-05-18
U1410,High Net Worth,Egypt,Aggressive,2026-07-03
U1411,Mass,Egypt,Aggressive,2026-04-24
U1412,Mass,Egypt,Conservative,2026-06-24
U1413,Mass,Egypt,Moderate,2026-04-22
U1414,Affluent,Egypt,Conservative,2026-05-16
U1415,Mass,Egypt,Moderate,2026-07-11
U1416,High Net Worth,Egypt,Moderate,2026-05-17
U1417,Mass,UAE,Conservative,2026-04-04
U1418,Mass,Egypt,Aggressive,2026-04-05
U1419,Mass,Egypt,Moderate,2026-05-17
U1420,Mass,Egypt,Moderate,2026-06-26
U1421,Mass,Egypt,Moderate,2026-04-10
U1422,Mass,Egypt,Moderate,2026-06-23
U1423,Mass,Qatar,Conservative,2026-04-24
U1424,Mass,Egypt,Moderate,2026-05-04
U1425,Affluent,Egypt,Conservative,2026-06-18
U1426,Mass,Kuwait,Moderate,2026-04-16
U1427,Mass,Egypt,Conservative,2026-07-01
U1428,Mass,Egypt,Moderate,2026-05-11
U1429,Affluent,Egypt,Moderate,2026-05-08
U1430,Affluent,Saudi Arabia,Moderate,2026-06-29
U1431,Affluent,UAE,Moderate,2026-04-16
U1432,High Net Worth,UAE,Conservative,2026-06-03
U1433,Mass,Egypt,Moderate,2026-07-12
U1434,High Net Worth,Egypt,Aggressive,2026-04-09
U1435,Mass,Bahrain,Moderate,2026-06-07
U1436,Mass,Egypt,Moderate,2026-04-17
U1437,High Net Worth,Egypt,Moderate,2026-06-27
U1438,Mass,Egypt,Aggressive,2026-06-10
U1439,Affluent,Egypt,Aggressive,2026-05-26
U1440,Mass,Saudi Arabia,Aggressive,2026-06-06
U1441,Mass,Egypt,Moderate,2026-06-30
U1442,Mass,Qatar,Moderate,2026-05-07
U1443,Affluent,Egypt,Moderate,2026-06-10
U1444,Mass,Egypt,Moderate,2026-04-12
U1445,Mass,Egypt,Aggressive,2026-04-20
U1446,Mass,Egypt,Aggressive,2026-05-14
U1447,Affluent,Egypt,Aggressive,2026-04-04
U1448,Mass,Qatar,Aggressive,2026-05-04
U1449,Affluent,UAE,Moderate,2026-06-21
U1450,Mass,Saudi Arabia,Moderate,2026-06-22
U1451,High Net Worth,Egypt,Aggressive,2026-06-27
U1452,Mass,Egypt,Moderate,2026-04-21
U1453,Mass,Egypt,Conservative,2026-06-17
U1454,Mass,Saudi Arabia,Moderate,2026-05-15
U1455,High Net Worth,Egypt,Moderate,2026-06-11
U1456,Mass,Egypt,Conservative,2026-05-28
U1457,Mass,Egypt,Moderate,2026-05-20
U1458,Affluent,Egypt,Aggressive,2026-04-21
U1459,Affluent,Kuwait,Moderate,2026-04-25
U1460,Affluent,Egypt,Moderate,2026-06-03
U1461,Affluent,Egypt,Conservative,2026-05-21
U1462,Mass,Qatar,Conservative,2026-05-16
U1463,Mass,Egypt,Moderate,2026-06-23
U1464,Affluent,Egypt,Conservative,2026-04-14
U1465,Mass,Saudi Arabia,Moderate,2026-07-07
U1466,Mass,Egypt,Conservative,2026-06-11
U1467,Mass,Egypt,Conservative,2026-06-04
U1468,Mass,Egypt,Aggressive,2026-06-19
U1469,Affluent,Egypt,Aggressive,2026-05-21
U1470,Mass,Bahrain,Moderate,2026-05-17
U1471,Affluent,Egypt,Moderate,2026-06-04
U1472,Mass,Egypt,Moderate,2026-07-12
U1473,Mass,Egypt,Moderate,2026-06-05
U1474,Mass,Kuwait,Moderate,2026-05-21
U1475,High Net Worth,UAE,Moderate,2026-05-14
U1476,Mass,Egypt,Moderate,2026-06-12
U1477,Mass,UAE,Moderate,2026-06-26
U1478,Mass,Egypt,Moderate,2026-07-02
U1479,Affluent,Egypt,Moderate,2026-05-04
U1480,High Net Worth,UAE,Aggressive,2026-06-13
U1481,Mass,Egypt,Moderate,2026-06-07
U1482,Affluent,Egypt,Aggressive,2026-04-19
U1483,Affluent,Egypt,Moderate,2026-06-29
U1484,Mass,Egypt,Moderate,2026-04-20
U1485,Mass,Egypt,Moderate,2026-06-18
U1486,High Net Worth,Saudi Arabia,Moderate,2026-04-08
U1487,Affluent,Egypt,Moderate,2026-06-24
U1488,Mass,Egypt,Aggressive,2026-05-29
U1489,High Net Worth,Egypt,Moderate,2026-07-08
U1490,Affluent,Egypt,Aggressive,2026-05-04
U1491,Mass,Egypt,Moderate,2026-06-11
U1492,Mass,Qatar,Aggressive,2026-07-08
U1493,Mass,Egypt,Moderate,2026-05-11
U1494,Mass,Egypt,Aggressive,2026-07-02
U1495,Mass,Egypt,Moderate,2026-05-19
U1496,Affluent,Egypt,Moderate,2026-07-08
U1497,Affluent,Egypt,Moderate,2026-07-01
U1498,Mass,Kuwait,Moderate,2026-07-05
U1499,Mass,Egypt,Moderate,2026-06-11
U1500,Affluent,Egypt,Moderate,2026-06-15
U1501,Mass,Egypt,Aggressive,2026-04-29
U1502,Affluent,Egypt,Moderate,2026-07-01
U1503,Mass,Egypt,Conservative,2026-06-10
U1504,High Net Worth,Egypt,Moderate,2026-05-31
U1505,Mass,Egypt,Aggressive,2026-05-12
U1506,Mass,Egypt,Aggressive,2026-06-23
U1507,Mass,Egypt,Moderate,2026-04-05
U1508,High Net Worth,Egypt,Aggressive,2026-04-23
U1509,High Net Worth,Egypt,Aggressive,2026-07-10
U1510,Mass,Kuwait,Aggressive,2026-05-08
U1511,Affluent,Egypt,Moderate,2026-04-14
U1512,High Net Worth,Egypt,Moderate,2026-06-22
U1513,Mass,Egypt,Aggressive,2026-06-04
U1514,Mass,Egypt,Conservative,2026-04-21
U1515,Affluent,Egypt,Moderate,2026-04-02
U1516,Affluent,UAE,Moderate,2026-07-06
U1517,Mass,Egypt,Moderate,2026-05-22
U1518,Affluent,Egypt,Conservative,2026-06-25
U1519,Mass,Bahrain,Moderate,2026-05-02
U1520,Mass,Egypt,Moderate,2026-05-05
U1521,High Net Worth,Egypt,Moderate,2026-04-02
U1522,Mass,Egypt,Conservative,2026-06-25
U1523,Mass,Egypt,Moderate,2026-06-04
U1524,High Net Worth,Saudi Arabia,Aggressive,2026-06-28
U1525,Mass,Kuwait,Moderate,2026-06-18
U1526,Mass,Qatar,Moderate,2026-05-29
U1527,Affluent,Egypt,Moderate,2026-06-10
U1528,High Net Worth,UAE,Aggressive,2026-04-28
U1529,Affluent,Egypt,Moderate,2026-07-10
U1530,Mass,Egypt,Moderate,2026-04-10
U1531,High Net Worth,Egypt,Aggressive,2026-06-04
U1532,Mass,Egypt,Conservative,2026-06-06
U1533,Mass,Egypt,Moderate,2026-06-02
