fund_order_id,user_id,order_date,fund_id,order_type,order_status,certificate_price,certificates
FO3069,U1142,2026-07-15,FUND_EQS,Invest,Completed,118.688,10
FO3070,U1142,2026-07-01,FUND_GLD,Invest,Completed,85.922,30
FO3071,U1150,2026-06-30,FUND_GLD,Invest,Completed,85.654,150
FO3072,U1153,2026-06-07,FUND_MM,Invest,Completed,109.758,150
FO3073,U1158,2026-06-25,FUND_FI_USD,Invest,Completed,102.128,100
FO3074,U1161,2026-06-09,FUND_MM,Invest,Completed,109.489,10
FO3075,U1161,2026-06-09,FUND_FI_USD,Invest,Completed,102.577,100
FO3076,U1164,2026-07-12,FUND_MM,Invest,Completed,108.516,75
FO3077,U1164,2026-07-08,FUND_GLD,Invest,Completed,85.883,100
FO3078,U1168,2026-07-08,FUND_MM,Invest,Completed,110.234,75
FO3079,U1169,2026-07-06,FUND_EQS,Invest,Completed,118.678,150
FO3080,U1171,2026-06-04,FUND_GLD,Invest,Completed,85.722,75
FO3081,U1171,2026-07-14,FUND_EQ,Invest,Active,113.975,20
FO3082,U1177,2026-06-22,FUND_EQS,Invest,Completed,120.058,150
FO3083,U1177,2026-07-08,FUND_MM,Invest,Completed,109.789,50
FO3084,U1178,2026-07-14,FUND_FI_USD,Invest,Completed,101.876,100
FO3085,U1179,2026-06-30,FUND_EQ,Invest,Completed,114.374,20
FO3086,U1179,2026-06-09,FUND_MM,Invest,Completed,109.597,150
FO3087,U1179,2026-07-12,FUND_EQS,Invest,Completed,119.421,10
FO3088,U1181,2026-06-28,FUND_EQ,Invest,Completed,115.351,100
FO3089,U1184,2026-07-09,FUND_GLD,Invest,Completed,84.914,50
FO3090,U1184,2026-07-13,FUND_EQ,Invest,Completed,113.321,150
FO3091,U1184,2026-06-23,FUND_MM,Invest,Completed,109.118,200
FO3092,U1184,2026-07-06,FUND_FI_USD,Invest,Completed,100.691,450
FO3093,U1193,2026-07-08,FUND_EQS,Invest,Active,118.94,10
FO3094,U1193,2026-07-12,FUND_FI_USD,Invest,Active,102.248,10
FO3095,U1193,2026-07-15,FUND_GLD,Invest,Completed,85.161,10
FO3096,U1198,2026-06-09,FUND_EQ,Invest,Active,113.746,75
FO3097,U1198,2026-06-25,FUND_EQS,Invest,Completed,120.166,20
FO3098,U1200,2026-07-15,FUND_EQ,Invest,Completed,114.291,30
FO3099,U1201,2026-06-10,FUND_EQS,Invest,Completed,118.651,750
FO3100,U1201,2026-06-10,FUND_MM,Invest,Completed,108.91,150
FO3101,U1201,2026-05-18,FUND_EQ,Invest,Completed,115.378,150
FO3102,U1203,2026-06-25,FUND_EQ,Invest,Completed,113.848,20
FO3103,U1204,2026-07-15,FUND_EQ,Invest,Active,115.524,75
FO3104,U1204,2026-07-05,FUND_FI_USD,Invest,Completed,101.701,20
FO3105,U1205,2026-06-17,FUND_MM,Invest,Completed,109.764,30
FO3106,U1210,2026-07-14,FUND_FI_USD,Invest,Active,100.823,50
FO3107,U1210,2026-06-29,FUND_GLD,Invest,Completed,85.009,75
FO3108,U1210,2026-07-01,FUND_EQ,Invest,Active,113.886,150
FO3109,U1218,2026-07-08,FUND_FI_USD,Invest,Completed,101.505,30
FO3110,U1218,2026-07-12,FUND_EQS,Invest,Completed,118.335,250
FO3111,U1219,2026-07-08,FUND_EQ,Invest,Completed,114.761,20
FO3112,U1219,2026-07-09,FUND_FI_USD,Invest,Completed,101.346,100
FO3113,U1227,2026-06-23,FUND_MM,Invest,Completed,109.422,75
FO3114,U1227,2026-07-05,FUND_EQS,Invest,Completed,119.124,100
FO3115,U1228,2026-06-25,FUND_FI_USD,Invest,Active,100.814,20
FO3116,U1232,2026-06-14,FUND_EQS,Invest,Completed,119.327,50
FO3117,U1234,2026-06-30,FUND_MM,Invest,Completed,108.392,30
FO3118,U1234,2026-07-09,FUND_EQS,Invest,Completed,119.886,200
FO3119,U1234,2026-07-08,FUND_FI_USD,Invest,Completed,101.533,300
FO3120,U1234,2026-07-14,FUND_GLD,Invest,Completed,86.037,450
FO3121,U1243,2026-06-25,FUND_EQS,Invest,Active,120.354,10
FO3122,U1246,2026-07-13,FUND_GLD,Invest,Completed,85.292,50
FO3123,U1246,2026-06-30,FUND_FI_USD,Invest,Completed,102.349,100
FO3124,U1249,2026-07-08,FUND_MM,Invest,Completed,110.26,20
FO3125,U1249,2026-07-14,FUND_GLD,Invest,Completed,85.537,20
FO3126,U1249,2026-06-24,FUND_EQS,Invest,Canceled,119.077,100
FO3127,U1261,2026-06-22,FUND_FI_USD,Invest,Completed,100.919,75
FO3128,U1279,2026-07-12,FUND_EQ,Invest,Completed,113.325,100
FO3129,U1279,2026-07-09,FUND_EQS,Invest,Active,118.368,150
FO3130,U1279,2026-05-21,FUND_MM,Invest,Active,108.464,150
FO3131,U1292,2026-07-02,FUND_GLD,Invest,Completed,85.158,50
FO3132,U1294,2026-07-15,FUND_FI_USD,Invest,Canceled,100.795,30
FO3133,U1307,2026-07-07,FUND_EQ,Invest,Completed,114.326,50
FO3134,U1307,2026-07-01,FUND_GLD,Invest,Active,84.996,50
FO3135,U1313,2026-07-02,FUND_EQS,Invest,Completed,119.762,75
FO3136,U1313,2026-05-26,FUND_MM,Invest,Canceled,109.252,30
FO3137,U1317,2026-07-15,FUND_EQS,Invest,Active,119.225,20
FO3138,U1321,2026-07-02,FUND_MM,Invest,Active,110.215,150
FO3139,U1321,2026-06-11,FUND_EQ,Invest,Completed,114.081,20
FO3140,U1324,2026-07-13,FUND_EQS,Invest,Completed,120.305,100
FO3141,U1325,2026-07-15,FUND_GLD,Invest,Completed,84.611,50
FO3142,U1328,2026-05-28,FUND_MM,Invest,Completed,108.422,50
FO3143,U1328,2026-06-24,FUND_FI_USD,Invest,Completed,100.919,20
FO3144,U1328,2026-06-07,FUND_EQ,Invest,Completed,115.492,50
FO3145,U1331,2026-06-01,FUND_MM,Invest,Active,108.428,100
FO3146,U1331,2026-06-18,FUND_EQS,Invest,Completed,119.44,20
FO3147,U1336,2026-06-28,FUND_FI_USD,Invest,Completed,101.549,75
FO3148,U1336,2026-07-12,FUND_GLD,Invest,Canceled,85.522,75
FO3149,U1338,2026-06-09,FUND_MM,Invest,Completed,109.391,10
FO3150,U1338,2026-06-01,FUND_EQS,Invest,Completed,120.356,150
FO3151,U1338,2026-06-21,FUND_EQ,Invest,Completed,115.144,75
FO3152,U1342,2026-07-14,FUND_GLD,Invest,Completed,85.358,75
FO3153,U1347,2026-07-13,FUND_MM,Invest,Completed,109.407,75
FO3154,U1347,2026-06-30,FUND_FI_USD,Invest,Completed,102.109,10
FO3155,U1350,2026-06-21,FUND_FI_USD,Invest,Completed,101.303,30
FO3156,U1351,2026-07-06,FUND_EQ,Invest,Completed,114.922,200
FO3157,U1358,2026-07-13,FUND_EQ,Invest,Completed,114.105,20
FO3158,U1358,2026-05-05,FUND_GLD,Invest,Completed,85.826,10
FO3159,U1358,2026-05-10,FUND_FI_USD,Invest,Completed,101.404,750
FO3160,U1358,2026-06-25,FUND_EQS,Invest,Completed,118.399,200
FO3161,U1360,2026-07-14,FUND_EQ,Invest,Completed,114.063,30
FO3162,U1360,2026-06-21,FUND_GLD,Invest,Completed,85.349,150
FO3163,U1360,2026-04-23,FUND_EQS,Invest,Completed,118.215,10
FO3164,U1368,2026-07-12,FUND_FI_USD,Invest,Completed,101.859,100
FO3165,U1368,2026-07-13,FUND_EQ,Invest,Completed,114.878,75
FO3166,U1368,2026-07-06,FUND_EQS,Invest,Completed,118.257,75
FO3167,U1371,2026-06-25,FUND_MM,Invest,Completed,108.425,20
FO3168,U1375,2026-07-02,FUND_FI_USD,Invest,Completed,102.083,100
FO3169,U1375,2026-06-11,FUND_MM,Invest,Active,109.952,60
FO3170,U1376,2026-05-12,FUND_MM,Invest,Canceled,108.369,50
FO3171,U1376,2026-05-25,FUND_GLD,Invest,Completed,86.105,75
FO3172,U1385,2026-07-02,FUND_FI_USD,Invest,Completed,100.761,100
FO3173,U1385,2026-07-13,FUND_EQ,Invest,Active,113.248,150
FO3174,U1386,2026-06-18,FUND_EQS,Invest,Completed,119.468,10
FO3175,U1386,2026-06-30,FUND_FI_USD,Invest,Active,102.382,10
FO3176,U1386,2026-07-12,FUND_EQ,Invest,Active,113.918,75
FO3177,U1395,2026-07-08,FUND_GLD,Invest,Completed,85.805,100
FO3178,U1398,2026-07-06,FUND_MM,Invest,Completed,108.638,10
FO3179,U1401,2026-06-22,FUND_GLD,Invest,Completed,85.213,50
FO3180,U1401,2026-06-28,FUND_FI_USD,Invest,Completed,102.677,150
FO3181,U1405,2026-05-21,FUND_MM,Invest,Completed,108.699,75
FO3182,U1409,2026-06-09,FUND_EQS,Invest,Completed,118.382,30
FO3183,U1409,2026-07-08,FUND_GLD,Invest,Active,85.302,20
FO3184,U1410,2026-07-15,FUND_FI_USD,Invest,Active,101.504,50
FO3185,U1411,2026-06-25,FUND_EQ,Invest,Completed,114.222,20
FO3186,U1411,2026-06-10,FUND_GLD,Invest,Completed,85.574,100
FO3187,U1416,2026-07-02,FUND_EQ,Invest,Active,114.088,100
FO3188,U1416,2026-05-25,FUND_MM,Invest,Completed,109.391,150
FO3189,U1425,2026-07-15,FUND_EQS,Invest,Completed,120.202,75
FO3190,U1425,2026-07-14,FUND_EQ,Invest,Active,115.099,150
FO3191,U1429,2026-05-25,FUND_EQ,Invest,Completed,114.562,75
FO3192,U1435,2026-07-14,FUND_MM,Invest,Canceled,109.329,75
FO3193,U1438,2026-07-05,FUND_MM,Invest,Active,108.114,10
FO3194,U1438,2026-06-25,FUND_GLD,Invest,Completed,84.657,30
FO3195,U1447,2026-04-16,FUND_EQ,Invest,Completed,113.925,10
FO3196,U1447,2026-05-24,FUND_GLD,Invest,Completed,85.296,50
FO3197,U1448,2026-07-05,FUND_EQS,Invest,Completed,118.093,30
FO3198,U1448,2026-07-08,FUND_GLD,Invest,Canceled,85.454,100
FO3199,U1451,2026-07-15,FUND_FI_USD,Invest,Completed,100.839,10
FO3200,U1451,2026-07-13,FUND_MM,Invest,Active,109.581,50
FO3201,U1455,2026-07-07,FUND_EQS,Invest,Completed,120.044,20
FO3202,U1464,2026-06-04,FUND_GLD,Invest,Completed,85.601,75
FO3203,U1467,2026-07-06,FUND_EQ,Invest,Completed,113.28,30
FO3204,U1467,2026-07-02,FUND_MM,Invest,Completed,109.64,50
FO3205,U1475,2026-06-17,FUND_EQS,Invest,Completed,119.262,10
FO3206,U1475,2026-06-10,FUND_GLD,Invest,Completed,84.961,150
FO3207,U1476,2026-06-30,FUND_EQS,Invest,Completed,118.542,30
FO3208,U1476,2026-07-12,FUND_FI_USD,Invest,Completed,101.851,10
FO3209,U1477,2026-07-06,FUND_EQ,Invest,Completed,113.554,30
FO3210,U1480,2026-06-18,FUND_GLD,Invest,Completed,85.325,225
FO3211,U1480,2026-07-07,FUND_EQS,Invest,Completed,119.619,60
FO3212,U1480,2026-07-09,FUND_FI_USD,Invest,Completed,102.035,375
FO3213,U1480,2026-07-08,FUND_EQ,Invest,Completed,115.276,450
FO3214,U1481,2026-07-01,FUND_EQS,Invest,Completed,118.114,75
FO3215,U1481,2026-07-06,FUND_MM,Invest,Completed,110.033,20
FO3216,U1482,2026-06-15,FUND_EQS,Invest,Completed,120.284,100
FO3217,U1482,2026-06-30,FUND_GLD,Invest,Completed,85.408,30
FO3218,U1482,2026-07-12,FUND_FI_USD,Invest,Active,101.567,30
FO3219,U1486,2026-05-03,FUND_MM,Invest,Completed,109.41,150
FO3220,U1486,2026-05-05,FUND_EQS,Invest,Completed,120.245,10
FO3221,U1486,2026-05-24,FUND_GLD,Invest,Active,84.771,30
FO3222,U1486,2026-05-04,FUND_EQ,Invest,Completed,113.372,100
FO3223,U1497,2026-07-14,FUND_FI_USD,Invest,Completed,102.152,50
FO3224,U1497,2026-07-12,FUND_MM,Invest,Completed,108.588,100
FO3225,U1498,2026-07-14,FUND_MM,Invest,Completed,108.804,75
FO3226,U1499,2026-07-13,FUND_EQ,Invest,Active,114.67,75
FO3227,U1507,2026-06-02,FUND_FI_USD,Invest,Completed,101.428,10
FO3228,U1517,2026-06-15,FUND_FI_USD,Invest,Completed,102.267,100
FO3229,U1517,2026-06-28,FUND_MM,Invest,Completed,108.941,75
FO3230,U1518,2026-07-05,FUND_FI_USD,Invest,Completed,102.327,20
FO3231,U1521,2026-05-11,FUND_FI_USD,Invest,Completed,102.218,40
FO3232,U1521,2026-06-02,FUND_GLD,Invest,Active,85.334,60
FO3233,U1523,2026-07-12,FUND_EQ,Invest,Completed,114.133,30
FO3234,U1526,2026-07-15,FUND_EQS,Invest,Completed,118.615,30
FO3235,U1526,2026-06-18,FUND_GLD,Invest,Completed,84.635,20
FO3236,U1528,2026-07-02,FUND_EQS,Invest,Completed,119.573,750
FO3237,U1528,2026-06-08,FUND_FI_USD,Invest,Completed,102.532,100
FO3238,U1528,2026-05-12,FUND_GLD,Invest,Completed,85.89,60
FO3239,U1531,2026-06-16,FUND_EQS,Invest,Active,118.703,150
FO3240,U1531,2026-07-09,FUND_GLD,Invest,Completed,86.105,150
FO3241,U1533,2026-07-01,FUND_EQ,Invest,Completed,115.086,10
FO3242,U1540,2026-07-13,FUND_EQ,Invest,Completed,113.922,150
FO3243,U1540,2026-07-07,FUND_MM,Invest,Canceled,109.621,30
FO3244,U1541,2026-06-03,FUND_EQ,Invest,Completed,115.16,20
FO3245,U1541,2026-06-24,FUND_MM,Invest,Canceled,109.374,10
FO3246,U1541,2026-07-09,FUND_EQS,Invest,Canceled,119.138,100
FO3247,U1548,2026-07-07,FUND_FI_USD,Invest,Completed,101.628,20
FO3248,U1550,2026-06-01,FUND_MM,Invest,Active,108.778,75
FO3249,U1550,2026-07-06,FUND_EQS,Invest,Completed,119.15,50
FO3250,U1550,2026-05-25,FUND_FI_USD,Invest,Completed,100.847,20
FO3251,U1552,2026-06-04,FUND_FI_USD,Invest,Completed,102.159,100
FO3252,U1552,2026-06-16,FUND_GLD,Invest,Completed,85.293,50
FO3253,U1558,2026-06-11,FUND_FI_USD,Invest,Completed,101.948,100
FO3254,U1558,2026-07-01,FUND_MM,Invest,Completed,109.133,30
FO3255,U1558,2026-06-21,FUND_GLD,Invest,Active,84.539,100
FO3256,U1561,2026-07-07,FUND_FI_USD,Invest,Completed,102.391,30
FO3257,U1561,2026-07-01,FUND_MM,Invest,Completed,109.583,20
FO3258,U1563,2026-06-08,FUND_EQ,Invest,Active,114.989,50
FO3259,U1564,2026-06-28,FUND_GLD,Invest,Completed,85.87,150
FO3260,U1564,2026-06-14,FUND_FI_USD,Invest,Active,101.323,10
FO3261,U1564,2026-06-01,FUND_EQ,Invest,Canceled,115.325,100
FO3262,U1566,2026-07-14,FUND_FI_USD,Invest,Completed,102.081,150
FO3263,U1566,2026-05-17,FUND_GLD,Invest,Completed,84.916,100
FO3264,U1566,2026-05-31,FUND_EQ,Invest,Completed,115.321,20
FO3265,U1569,2026-06-23,FUND_FI_USD,Invest,Completed,101.594,20
FO3266,U1569,2026-06-16,FUND_GLD,Invest,Completed,84.57,20
FO3267,U1571,2026-06-09,FUND_EQ,Invest,Completed,113.561,100
FO3268,U1571,2026-07-13,FUND_EQS,Invest,Completed,118.069,100
FO3269,U1578,2026-06-29,FUND_MM,Invest,Completed,109.224,100
FO3270,U1578,2026-06-21,FUND_EQS,Invest,Completed,119.106,50
FO3271,U1579,2026-07-07,FUND_EQS,Invest,Completed,119.492,10
FO3272,U1579,2026-05-14,FUND_EQ,Invest,Completed,115.133,150
FO3273,U1580,2026-07-06,FUND_GLD,Invest,Active,84.891,10
FO3274,U1581,2026-07-07,FUND_EQ,Invest,Completed,114.116,300
FO3275,U1581,2026-07-05,FUND_MM,Invest,Completed,108.896,50
FO3276,U1587,2026-05-31,FUND_MM,Invest,Completed,110.272,10
FO3277,U1592,2026-06-04,FUND_FI_USD,Invest,Completed,102.639,20
FO3278,U1592,2026-07-13,FUND_EQS,Invest,Completed,119.454,50
FO3279,U1595,2026-07-13,FUND_EQS,Invest,Canceled,118.611,100
FO3280,U1595,2026-06-28,FUND_EQ,Invest,Active,113.261,100
FO3281,U1596,2026-07-09,FUND_FI_USD,Invest,Active,101.699,100
FO3282,U1600,2026-07-02,FUND_EQ,Invest,Completed,113.447,30
FO3283,U1601,2026-07-15,FUND_EQ,Invest,Completed,114.72,100
FO3284,U1601,2026-07-05,FUND_GLD,Invest,Completed,85.193,75
FO3285,U1602,2026-05-14,FUND_FI_USD,Invest,Completed,102.168,30
FO3286,U1602,2026-05-20,FUND_MM,Invest,Completed,108.152,30
FO3287,U1602,2026-05-19,FUND_GLD,Invest,Active,84.687,10
FO3288,U1604,2026-06-09,FUND_GLD,Invest,Completed,84.602,30
FO3289,U1604,2026-07-02,FUND_MM,Invest,Completed,109.612,30
FO3290,U1606,2026-07-08,FUND_FI_USD,Invest,Completed,100.754,250
FO3291,U1607,2026-06-29,FUND_EQ,Invest,Completed,115.081,75
FO3292,U1609,2026-05-03,FUND_EQ,Invest,Completed,114.786,50
FO3293,U1609,2026-05-24,FUND_FI_USD,Invest,Completed,101.682,75
FO3294,U1612,2026-07-01,FUND_EQS,Invest,Completed,119.172,10
FO3295,U1617,2026-07-15,FUND_MM,Invest,Completed,108.553,100
FO3296,U1618,2026-05-04,FUND_EQS,Invest,Completed,120.352,75
FO3297,U1620,2026-07-12,FUND_EQS,Invest,Completed,118.173,150
FO3298,U1621,2026-06-08,FUND_GLD,Invest,Completed,86.124,100
FO3299,U1626,2026-05-26,FUND_GLD,Invest,Completed,84.64,50
FO3300,U1631,2026-07-12,FUND_EQS,Invest,Completed,120.044,20
FO3301,U1635,2026-07-09,FUND_EQ,Invest,Completed,113.247,30
FO3302,U1636,2026-07-13,FUND_FI_USD,Invest,Completed,100.732,150
FO3303,U1636,2026-06-09,FUND_MM,Invest,Completed,108.363,50
FO3304,U1636,2026-05-10,FUND_GLD,Invest,Completed,84.905,60
FO3305,U1637,2026-07-08,FUND_EQ,Invest,Completed,113.526,60
FO3306,U1637,2026-07-13,FUND_GLD,Invest,Completed,86.121,50
FO3307,U1637,2026-06-29,FUND_FI_USD,Invest,Completed,101.777,100
FO3308,U1637,2026-07-08,FUND_EQS,Invest,Completed,119.339,60
FO3309,U1639,2026-06-24,FUND_EQS,Invest,Completed,119.435,50
FO3310,U1644,2026-06-24,FUND_MM,Invest,Completed,108.533,20
FO3311,U1644,2026-06-18,FUND_EQ,Invest,Active,114.88,10
FO3312,U1644,2026-06-11,FUND_FI_USD,Invest,Completed,102.071,150
FO3313,U1646,2026-07-14,FUND_GLD,Invest,Completed,84.636,75
FO3314,U1646,2026-07-12,FUND_FI_USD,Invest,Active,101.929,75
FO3315,U1647,2026-07-15,FUND_EQ,Invest,Completed,114.402,10
FO3316,U1655,2026-05-25,FUND_FI_USD,Invest,Completed,102.178,150
FO3317,U1655,2026-05-21,FUND_GLD,Invest,Completed,84.814,10
FO3318,U1672,2026-05-27,FUND_FI_USD,Invest,Active,102.519,10
FO3319,U1672,2026-07-15,FUND_EQS,Invest,Active,120.038,30
FO3320,U1672,2026-06-28,FUND_MM,Invest,Completed,109.601,10
FO3321,U1674,2026-07-05,FUND_FI_USD,Invest,Completed,100.824,150
FO3322,U1685,2026-05-25,FUND_MM,Invest,Completed,109.861,150
FO3323,U1685,2026-07-06,FUND_FI_USD,Invest,Completed,100.851,75
FO3324,U1692,2026-06-25,FUND_MM,Invest,Completed,109.7,10
FO3325,U1692,2026-06-22,FUND_GLD,Invest,Completed,84.607,10
FO3326,U1695,2026-06-07,FUND_MM,Invest,Completed,110.24,150
FO3327,U1695,2026-06-24,FUND_GLD,Invest,Active,86.069,50
FO3328,U1702,2026-07-15,FUND_EQ,Invest,Active,113.838,150
FO3329,U1705,2026-06-07,FUND_EQ,Invest,Completed,115.176,50
FO3330,U1705,2026-07-14,FUND_MM,Invest,Active,110.022,20
FO3331,U1709,2026-07-09,FUND_EQS,Invest,Completed,119.056,50
FO3332,U1711,2026-05-10,FUND_MM,Invest,Completed,108.861,100
FO3333,U1711,2026-07-13,FUND_FI_USD,Invest,Completed,101.777,10
FO3334,U1713,2026-06-10,FUND_FI_USD,Invest,Completed,101.968,150
FO3335,U1713,2026-05-04,FUND_EQ,Invest,Completed,114.657,10
FO3336,U1714,2026-07-09,FUND_FI_USD,Invest,Completed,101.586,50
FO3337,U1715,2026-05-12,FUND_EQS,Invest,Active,119.732,50
FO3338,U1715,2026-07-14,FUND_GLD,Invest,Completed,85.419,75
FO3339,U1715,2026-05-10,FUND_FI_USD,Invest,Completed,101.899,75
FO3340,U1720,2026-07-15,FUND_FI_USD,Invest,Completed,101.309,100
FO3341,U1723,2026-06-16,FUND_GLD,Invest,Completed,85.461,50
FO3342,U1723,2026-06-02,FUND_EQ,Invest,Completed,114.779,750
FO3343,U1723,2026-07-08,FUND_MM,Invest,Completed,110.256,20
FO3344,U1725,2026-06-30,FUND_GLD,Invest,Completed,85.451,100
FO3345,U1726,2026-05-18,FUND_GLD,Invest,Completed,84.589,100
FO3346,U1726,2026-07-08,FUND_MM,Invest,Canceled,109.785,150
FO3347,U1726,2026-06-28,FUND_FI_USD,Invest,Active,101.008,75
FO3348,U1729,2026-05-21,FUND_GLD,Invest,Completed,86.191,75
FO3349,U1729,2026-04-22,FUND_EQS,Invest,Completed,118.658,20
FO3350,U1732,2026-05-27,FUND_FI_USD,Invest,Completed,102.25,60
FO3351,U1732,2026-07-14,FUND_EQ,Invest,Completed,113.417,375
FO3352,U1732,2026-05-21,FUND_MM,Invest,Completed,109.968,450
FO3353,U1732,2026-05-18,FUND_GLD,Invest,Active,84.719,30
FO3354,U1739,2026-07-13,FUND_FI_USD,Invest,Completed,101.843,20
FO3355,U1740,2026-07-15,FUND_EQS,Invest,Completed,119.934,100
FO3356,U1748,2026-06-29,FUND_EQ,Invest,Completed,114.07,50
FO3357,U1748,2026-04-16,FUND_EQS,Invest,Completed,118.829,10
FO3358,U1752,2026-05-12,FUND_EQ,Invest,Completed,114.598,50
FO3359,U1752,2026-06-10,FUND_FI_USD,Invest,Completed,101.567,50
FO3360,U1758,2026-06-09,FUND_GLD,Invest,Completed,85.194,100
FO3361,U1758,2026-07-08,FUND_EQS,Invest,Completed,119.047,100
FO3362,U1763,2026-06-25,FUND_EQS,Invest,Completed,120.178,75
FO3363,U1767,2026-05-31,FUND_FI_USD,Invest,Completed,101.219,10
FO3364,U1768,2026-06-18,FUND_FI_USD,Invest,Completed,102.479,100
